st_012020_0005#0,"""AP 238/4/15 10:30"""
st_012020_0010#0,"""Oh, ¿qué te trae aquí?"""
st_012020_0020#0,"""Casra del Consejo de los Seis,<br>¿por qué estás aqui...?"""
st_012020_0030#0,"""Gracias por el saludo.<br>Estoy aquí en una misión, como tú."""
st_012020_0040#0,"""Pero es un espectáculo raro verte, que estes acompañado de alguien."""
st_012020_0050#0,"""Por no mencionar que esto <%me>. Podría ser obra del destino."""
st_012020_0060#0,"""¿La conoces?"""
st_012020_0070#0,"""¿Por qué estás aquí?"""
st_012020_0080#0,"""No formalmente, tendemos a vernos de vez en cuando en incidentes relacionados con el trabajo."""
st_012020_0090#0,"""Nada fuera de lo común. Sólo estoy aquí por la asignación de los ARKS."""
st_012020_0100#0,"""Pero para ir directamente al punto, ustedes dos vinieron aquí a enfrentar a ese dragón que actúa de forma violenta, estoy en lo cierto?"""
st_012020_0110#0,"""Parece que hubo un parámetro sospechoso en la arena esferica en el centro de la ciudad."""
st_012020_0120#0,"""¿Por qué sería aquí?"""
st_012020_0130#0,"""De hecho, parece extraño."""
st_012020_0140#0,"""Parece que el área está siendo utilizado para el concierto de cierta Idol"""
st_012020_0150#0,"""No es exactamente un lugar con una gran cantidad de Darkers, me resulta completamente incomprensible."""
st_012020_0160#0,"""<%me>, ¿podría ser que-"""
st_012020_0170#0,"""¿Quiere oírte cantar?"""
st_012020_0180#0,"""Apurémonos."""
st_012020_0190#0,"""Eso podría ser una posibilidad. Eso es lo que estaba haciendo cuando apareció antes."""
st_012020_0200#0,"""Si canto en la arena esferica, puedo ser capaz de conseguir que se detenga durante un tiempo."""
st_012020_0210#0,"""Una canción?"""
st_012020_0220#0,"""Parece un poco poético. Pero si es la idea de <%me>, entonces tiene mérito."""
st_012020_0230#0,"""Muy bien, seguiré su ejemplo en este caso."""
st_012020_0240#0,"""Tendría sentido dirigirse allí,<br>tan pronto como sea posible. date prisa."""
st_012020_0250#0,"""Te debo una Casra del Concilio de los Seis."""
st_012020_0260#0,"""Parece que me debe un favor podría ser útil en algún momento."""
st_012020_0270#0,"""Vamos date prisa. No podemos permitir que salga esta vez."""
st_012020_0280#0,"""Aunque no es mucho. ¿Me permitirías acompañarte?"""
st_012020_0290#0,"""Sólo quieres mantenerme alerta, ¿no?"""
st_012020_0300#0,"""Parece que juzgas mal mis intenciones. ¿De verdad crees que eso es lo que busco?"""
st_012020_0310#0,"""Bien, haz lo que quieras."""
st_012020_0320#0,"""A.P.238/4/15/10:30"""
skit01#0,"""La bestia incontrolable"""
skit02#0,"""Capítulo 9 La voz de la Idol"""
skit03#0,"""La Primera División"""
skit04#0,"""Capítulo 9 La voz de la Idol"""
