un_012470_0010#0,"""Oh hola <%me>."""
un_012470_0020#0,"""Excelente oportunidad, hay algo que quería preguntarte."""
un_012470_0030#0,"""La información es acerca de lo que ha sucedido con Zeno."""
un_012470_0040#0,"""Después de que se retiró, seguimos luchando contra Falz, pero como la lucha continuó nos quedamos abrumados."""
un_012470_0050#0,"""Ahí es cuando Zeno hizo la apuesta para dividirnos. Apartó a Dark Falz lo más lejos posible."""
un_012470_0060#0,"""Desde ese momento he estado tratando de localizar su paradero, pero no he encontrado ninguna pista."""
un_012470_0070#0,"""Ya veo..."""
un_012470_0080#0,"""Durante la pelea fue evidente que Dark Falz [Elder] estaba específicamente apuntando a él, por lo que utilizó eso"""
un_012470_0090#0,"""En cuanto al razonamiento de Dark Falz detrás de eso, todavía no puedo determinar ninguno."""
un_012470_0100#0,"""Yo sé la razón. El anfitrión de Falz fue Gettemhart, por lo que puede haberlo perseguido obstinadamente."""
un_012470_0110#0,"""Zeno probablemente sabía esto y por eso se utilizó como señuelo."""
un_012470_0120#0,"""Tengo que disculparme, aunque estaba con él, no pude hacer nada en la situación."""
un_012470_0130#0,"""Eso es comprensible. Además Zeno siempre ha sido así."""
un_012470_0140#0,"""Su cuerpo no ha sido encontrado, así que todavía hay una posibilidad de que regrese, tal vez."""
un_012470_0150#0,"""Tienes razón. Estoy esperando la posibilidad también."""
un_012470_0160#0,"""Aún tengo algunos otros para contactar hoy. Si me disculpas aquí."""
un_012470_0170#0,"""¿Qué? ¿Por qué me miras así?"""
un_012470_0180#0,"""Está bien, estoy bien. Estoy acostumbrado a tener que esperar un tiempo para Zeno de todos modos."""
un_012470_0190#0,"""Además, en ausencia de Zeno, necesito hacer lo mejor posible. Espero que podamos trabajar juntos."""
un_012470_0200#0,"""¡Bien! ¡Hagamos lo mejor!"""
un_012470_0210#0,"""A.P.238/4/3"""
un_012470_0220#0,"""A.P.238/4/3"""
