un_012280_0010#0,"""Hello everyone! It's Patty, thank you for coming today!"""
un_012280_0020#0,"""Hello it's Tea. Sorry my sister is missing a few screws as ever."""
un_012280_0030#0,"""Patty, no one's paying attention to your idol impression. You should try and dish out some information."""
un_012280_0040#0,"""Today, I have some special information for everyone who comes!"""
un_012280_0050#0,"""Oh god! You're going to keep talking like that!!?"""
un_012280_0060#0,"""There's such a thing as the ARKS research facility, has anyone heard of it?"""
un_012280_0070#0,"""It seems there are lots of rumors about shady experiments they're conducting, but there was an accident before."""
un_012280_0080#0,"""Patty, your idol impression really sucks! And that's not something you should be talking about in a loud voice."""
un_012280_0090#0,"""There aren't any details but it's likely that they really went overboard on something this time!"""
un_012280_0100#0,"""So anyways, thanks everyone for coming!"""
un_012280_0110#0,"""Sorry I think my sister just wants to experience what it's like to be popular."""
un_012280_0120#0,"""Don't worry, you can walk away, I don't think my sister is going to notice."""
