un_012340_0005#0,"""【Vida antinatural】"""
un_012340_0010#0,"""<%me>, En busca del dragón descontrolado?"""
un_012340_0020#0,"""He oído muchos rumores. Es decir, que aparece al romper un agujero en el espacio. """
un_012340_0030#0,"""〔Ninguno de mis 〕〔compañeros kin 〕〔tienen ese〕〔tipo de poder 〕〔¿Es realmente uno〕〔de los nuestros?〕"""
un_012340_0040#0,"""Eso era lo que me interesaba, originalmente. Ahora que he oído de usted, Rela, estoy más seguro."""
un_012340_0050#0,"""Es probable que ese dragón no sea un Dragonking. O al menos, probablemente no de este planeta."""
un_012340_0060#0,"""〔Pero me pregunto〕〔por que〕〔tengo esta〕〔sensacion de〕〔nostalgia〕"""
un_012340_0070#0,"""〔¿Oh tal vez lo siente〕〔y es por eso〕〔que elige〕〔aparecer aquí?〕"""
un_012340_0080#0,"""¿Nostálgico? Me pregunto qué es nostálgico. Familiar podría ser el caso."""
un_012340_0090#0,"""De cualquier manera, es lamentable que tenga una existencia tan lamentable."""
un_012340_0100#0,"""Sus habilidades son algunas de las intrigantes. Desafortunadamente, no me interesa nada que no sea natural."""
