un_012430_0010#0,"""Oh, eres tu. ¡Hola!"""
un_012430_0020#0,"""En cuanto a ARKS en su conjunto, parece que la mayoría de los miembros carecen de entusiasmo. Cada vez que me encuentro con gente, que es lo que estoy comprobando."""
un_012430_0030#0,"""¡Con el renacimiento de Dark Falz y ese misterioso dragón, puedo creer por qué se sentirían así!"""
un_012430_0040#0,"""Pero eso es exactamente por qué no es el momento de caer! Eso es lo que hace una tercera persona."""
un_012430_0050#0,"""Todo el mundo en ARKS es un profesional, es nuestro deber dar lo mejor de nosotros."""
un_012430_0060#0,"""Tenemos órdenes sobre qué hacer, pero más allá de eso, es nuestra propia responsabilidad pensar y reaccionar."""
un_012430_0070#0,"""No hay nada más divertido que tratar de completar una misión basada en los objetivos y la información, mientras que la cooperación con los demás!"""
un_012430_0080#0,"""Pero, usted no puede olvidarse de preguntarse si lo que usted está haciendo es verdad en nombre de la justicia!"""
un_012430_0090#0,"""Usted necesita mantener un sentido de la justicia y nunca vacila, creer en eso! Eso es la confianza!"""
un_012430_0100#0,"""¡Si lo haces, nunca perderás tu camino! ¡E incluso si lo hace, todo lo que tiene que hacer es escuchar lo que dice su corazón!"""
un_012430_0110#0,"""Oh! ¡No pude dejar de ser atrapado en una charla de corazón a corazón!"""
un_012430_0120#0,"""De todos modos, siempre siga su propio sentido de la justicia. ¿Y qué es la justicia? ¡Ayudar a otros!"""
un_012430_0130#0,"""Voy a continuar con mi búsqueda! ¡Nos vemos la próxima vez!"""
