un_013070_0010#0,"""Ah, hello. You really are serious about your work."""
un_013070_0020#0,"""As a sign of respect, let me share a secret with you."""
un_013070_0030#0,"""ARKS have a research division. But it's not public knowlege, and their research is top secret."""
un_013070_0040#0,"""That division caused a huge incident a while ago."""
un_013070_0050#0,"""I wonder what they were researching... Photon research... Ah, was it research into granting photon aptitude to something?"""
un_013070_0060#0,"""By what means, I don't know. But it's a fact that something went wrong and caused a major incident."""
un_013070_0070#0,"""But there's almost nothing to go on about the accident. Unless you go looking for it."""
un_013070_0080#0,"""Organizations are like that. If nobody goes looking for information, nobody will find it. We call that information a secret."""
un_013070_0090#0,"""Even if it's just because nobody could be bothered to look into it."""
un_013070_0100#0,"""...Hm? Why am I telling you all this, you ask?"""
un_013070_0110#0,"""It's because you're serious. You listen carefully, and I find your reactions fascinating."""
