st_012110_0010#0,"""Está diciendo algo"""
st_012110_0020#0,"""Te está llamando"""
st_012110_0030#0,"""¿Qué?"""
st_012110_0040#0,"""¿Hay algo que quieras decirme Hadred?"""
st_012110_0050#0,"""...Esa canción una vez más..."""
st_012110_0060#0,"""Finalmente hablas y eso es lo que-?"""
st_012110_0070#0,"""¡Eres tan tonto!"""
st_012110_0080#0,"""En serio...."""
st_012110_0090#0,"""lo entiendo No sólo una canción, sino que voy a cantar para ti tanto como tu quieras!"""
st_012110_0100#0,"""La audiencia es sólo <%me>  y Hadred, pero voy a darle todo lo que tengo. Pero es por eso..."""
st_012110_0110#0,"""¡Pero Hadred, no puedes dormirte! Por favor no te quedes dormido."""
st_012110_0120#0,"""Esta canción. Esta canción... es para ti."""
st_012110_0130#0,"""A.P.238/4/23/14:30"""
skit01#0,"""Nuestra última despedida"""
skit02#0,"""Capítulo 10 Sigue jugando en el vacío"""
