name01#0,"""???"""
name02#0,"""???"""
ra_010080_0010#0,"""¿Qué te pasa? ¿Has venido a reírte de mí?"""
ra_010080_0020#0,"""Ríe si quieres. This seventy-five year old weapon smith is all washed up."""
ra_010080_0030#0,"""Estoy quemado. He perdido toda voluntad de crear algo."""
ra_010080_0040#0,"""¡Mi corazón estaba en llamas! Durante la batalla decisiva de hace 40 años... y también la batalla de hace 10 años. ¡La guerra saca mi pasión!"""
ra_010080_0050#0,"""Pero como la marea de la guerra se ha calmado, mi pasión, perseverancia y decisión se han desvanecido..."""
ra_010080_0060#0,"""Todavía quiero hacer algo con estas manos, pero no puede crear algo decente. Ese es mi orgullo como un artesano."""
ra_010080_0070#0,"""Perdón por hacerte escuchar las divagaciones de un viejo. ¿Para qué volviste a buscarme?"""
ra_010080_0080#0,"""Oh, pero una cosa de lo que dije. Si encuentras algo que me devuelva mi pasión, por favor muéstramelo."""
ra_010080_0090#0,"""Sólo necesito algo para inspirarme."""
ra_010080_0100#0,"""A.P.238/2/28"""
