un_012330_0005#0,"""【Intercambio intercultural】"""
un_012330_0010#0,"""Oh hey tu ¿En otra exploración? trabajas muy duro."""
un_012330_0020#0,"""〔<%me>〕<br>〔Gracias〕〔denuevo〕<br>〔por lo de antes〕"""
un_012330_0030#0,"""¿Ustedes dos ya se conocen? Bueno, supongo que podemos saltarnos las presentaciones entonces."""
un_012330_0040#0,"""En cuanto a mí, ya he hecho amistad con ella antes. Voy a hacer que me enseñe la cultura Dragonkin."""
un_012330_0050#0,"""〔Yo también〕〔Falta de experiencia〕<br>〔Escuchar los puntos de vista〕〔de otros〕<br>〔Es como alimento〕〔para mi〕"""
un_012330_0060#0,"""Compartimos los mismos intereses. Encuentro nuestras conversaciones frescas e increíblemente fructíferas."""
un_012330_0070#0,"""Hm? Oh, Light? Bueno, él..."""
un_012330_0080#0,"""〔Al verme〕〔huyó 〕〔con miedo〕<br>〔Es una〕〔lástima〕"""
un_012330_0090#0,"""Él pone el género masculino en deshonra. Hay un límite a ser grosero, huyendo a la vista de una dama."""
un_012330_0100#0,"""〔Me encuentro〕〔hablando〕〔con Aki〕<br>〔interesante〕〔y divertido〕"""
un_012330_0110#0,"""Haha, Eso es todo un honor. Vamos a ver ... ¿qué tal si discutimos las diferencias entre el proceso de pensamiento masculino y femenino a continuación?"""
un_012330_0120#0,"""〔Interesante〕〔Dime mas〕"""
un_012330_0130#0,"""Esta conversación va a tomar un tiempo. Te hablaré más tarde."""
