un_012090_0001#0,"""???"""
un_012090_0010#0,"""¿Cómo es posible encontrar a Hadred?"""
un_012090_0020#0,"""Parece que aún no has encontrado nada."""
un_012090_0030#0,"""Puedo decir por mirar tu cara. No te preocupes por eso, yo tampoco."""
un_012090_0040#0,"""Pero no me rendiré, hasta que mate a ese traidor con mis propias manos."""
un_012090_0050#0,"""No perdonaré al traidor que nos traicionó, me traicionó y luego se fue."""
un_012090_0060#0,"""¿Hadred tenía una razón para traicionarme?"""
un_012090_0070#0,"""No tengo ni idea, no entiendo! ¡No estaba allí!"""
un_012090_0080#0,"""¡Un traidor es un traidor! Eso es todo lo que sé..."""
un_012090_0090#0,"""Yo no entendía nada de él. todo se reduce a eso!"""
un_012090_0100#0,"""A.P.238/4/8"""
