name_7211#0,"""Xiandy"""
ssn_019340_002_0010#0,"""ขอบคุณที่มานะคะ"""
ssn_019340_002_0020#0,"""ที่ฉันเรียกคุณมา ก็เพราะอยากจะขอให้ช่วยสำรวจปรากฏการณ์<br>ที่กำลังเกิดขึ้นในตอนนี้น่ะค่ะ"""
ssn_019340_002_0030#0,"""ความจริงแล้ว ดูเหมือนว่าจำนวนของศัตรูทั่วทั้งฮาลฟา<br>กำลังมีแนวโน้มเพิ่มขึ้นน่ะค่ะ"""
ssn_019340_002_0040#0,"""โดยเฉพาะศัตรูที่มีสัญลักษณ์เฉพาะของช่วงเวลานี้<br>มีคนพบเห็นอยู่ตามที่ต่างๆ ค่ะ"""
ssn_019340_002_0050#0,"""เพื่อทำการวิเคราะห์สถานการณ์<br>อยากจะขอร้องให้ช่วยรวบรวมข้อมูลจะได้ไหมคะ?"""
ssn_019340_002_0060#0,"""ฉันอยากจะให้คุณส่งข้อมูล<br>ตอนที่คุณต่อสู้กับพวกศัตรูที่มีสัญลักษณ์มาให้น่ะค่ะ"""
ssn_019340_002_0070#0,"""ถ้างั้นก็ ขอฝากด้วยนะคะ"""
ssn_019340_002_0080#0,"""...อ๊ะ จริงสิ<br>เรื่องนี้ไม่เกี่ยวกับการขอร้องให้ช่วยสำรวจนะคะ"""
ssn_019340_002_0090#0,"""หมู่นี้ ดูเหมือนว่าจะมีรายงานการพบเห็นตัวตนปริศนา<br>ที่เรียกว่า【 เผ่าลิลีป้า 】ในเขตเอลิโอด้วยล่ะค่ะ"""
ssn_019340_002_0100#0,"""ถ้าเกิดว่าคุณมีความสนใจล่ะก็<br>ลองไปตามหาก็ดูก็อาจจะดีเหมือนกันนะคะ?"""
ssn_019340_002_0110#0,"""เรื่องที่ฉันอยากจะแจ้งให้ทราบก็มีเท่านี้แหละค่ะ<br>ถ้างั้น จะรอรับข้อมูลนะคะ"""
ssn_019340_002_0900#0,"""สำหรับเรื่องการเปลี่ยนแปลงของศัตรูในช่วงเวลานี้ กำลังตั้งใจสำรวจอยู่อย่างเต็มที่ค่ะ"""
ssn_019340_002_0910#0,"""ไม่ว่าจะเป็นข้อมูลเล็กน้อยแค่ไหน<br>ถ้าช่วยหามาให้ได้ก็จะช่วยได้มากเลยค่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนด้วย Seasonal Point (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนด้วย Seasonal Point ของครั้งก่อน (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนด้วยแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0050#0,"""สอบถามเกี่ยวกับกิจกรรม Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ【 Seasonal Event 】"""
npc_menu_1020#0,"""เกี่ยวกับ【 Seasonal Enemy 】"""
npc_menu_1030#0,"""เกี่ยวกับ【 เผ่าลิลีป้า 】"""
npc_menu_1040#0,"""เกี่ยวกับ【 Seasonal Region Mag 】"""
npc_menu_1050#0,"""เกี่ยวกับ【 Randomite 】"""
npc_menu_2000#0,"""ไม่มีเรื่องจะถาม"""
