Title#0,"""Первое испытание"""
Summary#0,"""<%me> встречает лидера<br>Централ-Сити, Крофорда, и узнаёт, что<br>DOLLS, уничтоживший город Эарио,<br>назвается Дарк Фальцем.<br>С возвращением Аины, троица отправляются<br>кокон для освоения навыков ARKS."""
text0101#0,"""Отправиться в кокон “Первые шаги”"""
text0102#0,"""Войти в кокон “Первые шаги”"""
Objective331#0,"""Изучить отскок от стены"""
Objective341#0,"""Пройти кокон “Первые шаги”"""
Objective351#0,"""Вернуться в область"""
Objective361#0,"""Вернуться в область"""
Objective371#0,"""Отправиться в Центральную Башню"""
Objective381#0,"""Поговорить с Крофородом"""
Objective311#0,"""※※※※※"""
Objective321#0,"""※※※※※"""
