CHOICE_INNOCENT#0,"""순수"""
CHOICE_FRESH#0,"""산뜻"""
CHOICE_FAINTHEART#0,"""소심"""
CHOICE_COOL#0,"""쿨"""
CHOICE_NAUGHTY#0,"""장난꾸러기"""
CHOICE_QUIET#0,"""느긋"""
CHOICE_NOISY#0,"""천진난만"""
CHOICE_SHARP#0,"""서투름"""
CHOICE_BOYISH#0,"""보이시"""
CHOICE_NONE#0,"""지금 그대로가 좋아"""
CHANGE_START#0,"""질문이 있습니다.<br>마스터께서는 제 개성을<br>어떻게 생각하십니까?"""
CHANGE_PERSONAL#0,"""지금의 저는 개성이 부족한 게<br>아닌가 하는 생각이 들었습니다."""
CHANGE_ASK#0,"""그러므로 마스터께 질문드립니다.<br>제가 어떻게 되길 바라십니까?"""
CHANGE_OK#0,"""알겠습니다.<br>마스터께서 바라시는 대로……"""
CHANGE_HOLD#0,"""알겠습니다.<br>그럼 이대로……"""
CHANGE_START#1,"""그러고 보니 가끔 궁금한데……<br>넌 내 개성이라는 걸<br>마음에 들어 하는 걸까."""
CHANGE_PERSONAL#1,"""네가 원하는 대로 최대한<br>산뜻하게 행동하려고<br>생각하고 있지만……"""
CHANGE_ASK#1,"""만족하고 있어?<br>아니면 다른 개성을<br>바라고 있는 걸까?"""
CHANGE_OK#1,"""흐음……<br>그게 네 바람이구나."""
CHANGE_HOLD#1,"""그럼 앞으로는 조금 더<br>산뜻하게 행동해 볼게!"""
CHANGE_START#2,"""저, 저기, 죄송해요……<br>조금 묻고 싶은 게 있어서<br>저, 제 성격 말인데요……"""
CHANGE_PERSONAL#2,"""이렇게 소심한 저라도 당신이<br>바란다면 곁에 있고 싶어요.<br>하지만 이대로 괜찮을지 불안해서……"""
CHANGE_ASK#2,"""저, 변하지 않아도 될까요?<br>지금 이대로 여기 있어도 될까요?"""
CHANGE_OK#2,"""그, 그렇군요……<br>그런 게 좋은 거군요.<br>알겠습니다."""
CHANGE_HOLD#2,"""저, 이, 이대로도 괜찮나요?<br>……감사합니다."""
CHANGE_START#3,"""미안하다, 잠깐 괜찮나?<br>내 성격을 네가 어떻게<br>생각하는지 들려줬으면 한다."""
CHANGE_PERSONAL#3,"""나는 네 바람에 부응하고 있나?<br>언제나 쿨하길 바란다는 희망에<br>부응하고 있는 걸까."""
CHANGE_ASK#3,"""나는 나다. 바꿀 수도 없지.<br>하지만 네가 바란다면 얘기가 달라……<br>넌 내가 어떻게 되길 바라지?"""
CHANGE_OK#3,"""그렇군.<br>그게 네가 바라는 모습인가."""
CHANGE_HOLD#3,"""……그런가.<br>그럼 이대로 행동을<br>이어 가도록 하지."""
CHANGE_START#4,"""있잖아, 하나 물어봐도 돼?<br>내 성격을 네가 어떻게<br>생각하는지 들려줘!"""
CHANGE_PERSONAL#4,"""네가 장난꾸러기여도 좋으니<br>씩씩하게 자라길 바랐으니까<br>나도 그렇게 행동하고 있어!"""
CHANGE_ASK#4,"""하지만 언제까지나 이대로<br>괜찮을까 하고 가끔 생각해.<br>있잖아, 난 어떻게 해야 할까?"""
CHANGE_OK#4,"""오, 그렇구나!<br>알았어, 그렇게 할게!"""
CHANGE_HOLD#4,"""헤헷, 오케이, 오케이!<br>그럼 앞으로도 이런 느낌으로<br>잘 부탁해!"""
CHANGE_START#5,"""죄송합니다, 잠깐 괜찮으신가요.<br>사실 당신의 취향을<br>알려 주셨으면 해서요……"""
CHANGE_PERSONAL#5,"""저, 조금 느긋하다고 할까……<br>활발한 편은 아닌 것 같은데<br>이래도 괜찮을까 해서……"""
CHANGE_ASK#5,"""제 행동이 마음에 들지 않나요?<br>당신은 어떤 저를<br>바라고 계신가요?"""
CHANGE_OK#5,"""알겠습니다.<br>앞으로는 그렇게 행동하겠습니다."""
CHANGE_HOLD#5,"""이대로도 괜찮다고요.<br>……후훗, 알겠습니다.<br>말씀하신 대로 할게요."""
CHANGE_START#6,"""있지, 질문이 하나 있는데<br>솔직히 내 성격에 대한<br>네 생각을 들려줘!"""
CHANGE_PERSONAL#6,"""천진난만하다고 하면 듣기는<br>좋지만, 솔직히 어때?<br>귀여워?\u3000취향이 아니야?"""
CHANGE_ASK#6,"""원하는 거라도 있어?<br>넌 내가<br>어떻게 되길 바라?"""
CHANGE_OK#6,"""오, 그렇구나, 알았어!<br>그럼 그런 느낌이 돼 볼게!"""
CHANGE_HOLD#6,"""오옷, 이대로도 좋다고!<br>그럼 앞으로도 이런 느낌으로<br>잘 부탁해!"""
CHANGE_START#7,"""……있잖아, 잠깐 괜찮아?<br>그……넌 말이야, 내 이런<br>성격을 어떻게 생각해?"""
CHANGE_PERSONAL#7,"""난 말이야, 서투르다고 할까……<br>그……나도 조금<br>솔직하지 못하다고는 생각해."""
CHANGE_ASK#7,"""저기……그러니까……<br>내가 어떻게 됐으면 하는지<br>묻고 있잖아!"""
CHANGE_OK#7,"""흐음……그렇구나.<br>그런 게 좋은 건가.<br>알았어, 그렇게 해 볼게."""
CHANGE_HOLD#7,"""……뭐, 이대로도 괜찮아?<br>……어, 어쩔 수 없네.<br>그럼 이 느낌대로 갈게."""
CHANGE_START#8,"""아, 저기, 잠깐 괜찮아?<br>너에게 묻고 싶은 게 있는데<br>그……내 성격 말이야……"""
CHANGE_PERSONAL#8,"""나는 보이시하다고 할까<br>별로 여자답지 않잖아.<br>지금 이대로……괜찮을까?"""
CHANGE_ASK#8,"""부탁이야!\u3000솔직한 마음을 들려줘!<br>넌 내가 어떻게<br>됐으면 좋겠다고 생각해?"""
CHANGE_OK#8,"""그렇구나……<br>그런 느낌이 좋은 거네.<br>응, 알았어, 고마워!"""
CHANGE_HOLD#8,"""난 나인 채로 있는 게 좋아?<br>……후훗, 알았어.<br>그럼 이대로 힘낼게!"""
