DEPARTURE_FAV4#0,"""맡겨 주십시오, 마스터"""
DEPARTURE_FAV3#0,"""그럼 다녀오겠습니다"""
DEPARTURE_FAV2#0,"""네, 알겠습니다"""
DEPARTURE_FAV1#0,"""알겠습니다"""
DEPARTURE_FAV0#0,"""출격하겠습니다"""
DEPARTURE_FAV4#1,"""널 위해 힘낼게"""
DEPARTURE_FAV3#1,"""뭐, 맡겨 두라고"""
DEPARTURE_FAV2#1,"""그럼 힘내고 올게"""
DEPARTURE_FAV1#1,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#1,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#2,"""아, 알겠습니다<br>당신을 위해 힘낼게요"""
DEPARTURE_FAV3#2,"""해, 해 볼게요<br>맡겨 주세요"""
DEPARTURE_FAV2#2,"""그럼 다녀올게요"""
DEPARTURE_FAV1#2,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#2,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#3,"""너를 위해서라면<br>이 힘, 원하는 대로 쓰도록 하지"""
DEPARTURE_FAV3#3,"""좋다, 맡겨 둬라"""
DEPARTURE_FAV2#3,"""그럼 출격한다"""
DEPARTURE_FAV1#3,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#3,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#4,"""오케이, 오케이!<br>나한테 맡기라니까!"""
DEPARTURE_FAV3#4,"""좋아, 해치워 주지!"""
DEPARTURE_FAV2#4,"""알았어!"""
DEPARTURE_FAV1#4,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#4,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#5,"""제게 맡겨 주세요.<br>당신에게 힘이 되고 싶습니다"""
DEPARTURE_FAV3#5,"""네, 알겠습니다.<br>전력을 다할게요"""
DEPARTURE_FAV2#5,"""알겠습니다.<br>그럼 다녀오겠습니다"""
DEPARTURE_FAV1#5,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#5,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#6,"""나한테 맡겨!<br>널 위해 힘낼게!"""
DEPARTURE_FAV3#6,"""좋아, 힘내 볼까!"""
DEPARTURE_FAV2#6,"""네네, 알았어!"""
DEPARTURE_FAV1#6,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#6,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#7,"""……다른 누구도 아닌<br>네 부탁이니 해 주지.<br>나에게 맡겨 둬"""
DEPARTURE_FAV3#7,"""……맡겨 둬.<br>하는 이상 전력을 다한다"""
DEPARTURE_FAV2#7,"""……알았다.<br>지금부터 출격한다"""
DEPARTURE_FAV1#7,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#7,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#8,"""너에게 도움이 된다면……<br>난 뭐든 해낼 거야!"""
DEPARTURE_FAV3#8,"""알았어.<br>나, 힘낼게!"""
DEPARTURE_FAV2#8,"""응, 알았어.<br>그럼 다녀올게"""
DEPARTURE_FAV1#8,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#8,"""DEPARTURE_FAV0<br>Debug_Error"""
