REPORT_BAD_FAV4#0,"""마스터……<br>기대에 부응하지 못해<br>정말 죄송합니다."""
REPORT_BAD_FAV3#0,"""만족스러운 성과를 얻지 못했습니다.<br>최선을 다했습니다만……"""
REPORT_BAD_FAV2#0,"""성과 보고입니다만……<br>실패라고밖에는 할 수 없습니다.<br>……죄송합니다."""
REPORT_BAD_FAV1#0,"""실패라고 말할 수밖에 없는 성과입니다."""
REPORT_BAD_FAV0#0,"""실패했습니다.<br>죄송합니다."""
REPORT_BAD_FAV4#1,"""정말 미안해!<br>변명하고 싶진 않지만,<br>여러 가지가 잘 안 풀려서……"""
REPORT_BAD_FAV3#1,"""열심히 해 보긴 했는데……<br>미안, 실패한 것 같아."""
REPORT_BAD_FAV2#1,"""실패는 성공의 어머니라잖아.<br>다음엔 힘낼게."""
REPORT_BAD_FAV1#1,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#1,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#2,"""모처럼 의지해 줬는데<br>이런 꼴이라니……죄송해요!"""
REPORT_BAD_FAV3#2,"""최선을 다해 보긴 했지만<br>실패하면 의미가 없겠죠……"""
REPORT_BAD_FAV2#2,"""……죄송해요.<br>잘 해내지 못했어요."""
REPORT_BAD_FAV1#2,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#2,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#3,"""……꼴사납다는 말밖에 안 나오는군.<br>기대에 부응하지 못한 나 자신에게<br>무엇보다도 화가 난다."""
REPORT_BAD_FAV3#3,"""전력을 다하긴 했지만……<br>실패해서는 면목이 없군."""
REPORT_BAD_FAV2#3,"""……미안하다.<br>내 역량이 부족했어."""
REPORT_BAD_FAV1#3,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#3,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#4,"""미안……뭔가 잘 안 풀려서<br>다음엔, 다음엔 제대로 할 테니까!<br>……미안해."""
REPORT_BAD_FAV3#4,"""온 힘을 다했는데 말이야!<br>이상하네……"""
REPORT_BAD_FAV2#4,"""……미안, 내 역량 부족이야."""
REPORT_BAD_FAV1#4,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#4,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#5,"""……죄송합니다.<br>모처럼 맡겨 주셨는데<br>기대에 부응하지 못해서……"""
REPORT_BAD_FAV3#5,"""열심히 했습니다만……<br>조금, 의욕만 앞선 모양이라……<br>죄송합니다."""
REPORT_BAD_FAV2#5,"""……죄송합니다.<br>제 역량 부족입니다."""
REPORT_BAD_FAV1#5,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#5,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#6,"""미안해, 실패해 버렸어……<br>정말 열심히 했지만<br>마지막 한 발이 부족해서……"""
REPORT_BAD_FAV3#6,"""온 힘을 다해 도전한 결과……<br>장렬히 실패했습니다!\u3000미안해요!"""
REPORT_BAD_FAV2#6,"""……미안, 실패했어.<br>내 역량 부족이야."""
REPORT_BAD_FAV1#6,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#6,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#7,"""……미안해.<br>방심한 건 아닌데<br>왜 그랬을까……미안."""
REPORT_BAD_FAV3#7,"""미안……<br>기대를 저버리는 짓을<br>해 버려서……"""
REPORT_BAD_FAV2#7,"""……생각보다<br>제대로 되지 않는 법이네."""
REPORT_BAD_FAV1#7,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#7,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#8,"""……미안해.<br>전부 내 역량 부족 때문이야.<br>잘 해내지 못했어."""
REPORT_BAD_FAV3#8,"""온 힘을 다해 봤지만……<br>미안해, 실패했어."""
REPORT_BAD_FAV2#8,"""……내 역량 부족이야.<br>미안해."""
REPORT_BAD_FAV1#8,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#8,"""REPORT_BAD_FAV0<br>Debug_Error"""
