name01#0,"""Сиерра"""
text01#0,"""Хорошо, это была атака 3-ей стадии!"""
text02#0,"""А теперь попробуем комбо."""
text03#0,"""В процессе изучения умений и навыков вам могут стать доступны <red>4-я и 5-я стадии<c> базовых атак!"""
text101#0,"""2-я задача: <yellow>Используйте 5-ю стадию базовой атаки"""
train_title#0,"""2-я задача: <yellow>Используйте 5-ю стадию базовой атаки"""
tut_title#0,"""Использование базовых атак"""
text100#0,"""・Последовательно <%NormalAttack>"""
tut_win_title#0,"""Умения и навыки Dark Blast'ов"""
tut_win_text099#0,"""Можно усилить Dark Blast посредством выбора<br><c ffff00>\""Изучить умения\""<c>в меню Dark Blast главного меню.<br><br>Для изучения и усиления умений и навыков<br>потребуется <c ffff00>「ＥＸＰ」<c>.<br>EXP (опыт) будет накапливаться при уничтожении<br>врагов во время квеста, а весь накопленный опыт вы<br>получите после прохождения квеста.<br>(Опыт один для всего аккаунта)<br><br>Некоторые умения и навыки также требуют<br><c ffff00>выполнения условий<c> для изучения."""
tut_win_text100#0,"""В Элдер форме \""Dark Blast\"" вы можете добавить 4<br>и более этапов базовой атаки изучив<br>\""<c ffff00>Normal Attack Combo Plus 1 and 2<c>\""<br>в главном меню Dark Blast.<br><br>Базовая атака, начиная с 4-го этапа, требует время<br>на выполнение, но зато имеет<br>очень высокую силу атаки."""
