name01#0,"""Сиерра"""
text01#0,"""<red>\""Darkness Wall\""<c> - это особое<br>умение, влияющее на<br>поведение врагов."""
text02#0,"""\""Darkness Wall\"" позволяет<br><red>привлечь внимание врага<c><br>и отвлечь от слабых союзников<br>или объектов!"""
text101#0,"""4-я задача: <yellow>Используйте \""Darkness Wall\"", чтобы привлечь внимание врага"""
train_title#0,"""4-я задача: <yellow>Использовать \""Darkness Wall\"", чтобы привлечь внимание врага"""
tut_title#0,"""Использование Darkness Wall"""
text100#0,"""・Активировать<br>Darkness Wall <%SubPalette1>"""
text101#1,"""・Изменить выбор в<br>под-палитре <%SubPaletteLeft><%SubPaletteRight><br>・Активировать<br>Darkness Wall<%SubPalette>"""
text100_v#0,"""・Выбрать Darkness Wall<br>в под-палитре"""
tut_win_title#0,"""『ダークネスウォール』について"""
tut_win_text100#0,"""\""Darkness Wall\"" - умение, позвляющее развернуть<br>перед собой огромную фотонную стену.<br><br>Враги, находящиеся поблизости при использовнии<br>Darkness Wall, будут сходиться к ней."""
