name01#0,"""シエラ"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>Dark Blast!"""
text02#0,"""С помощью Dark Blast'ов вы <red>временно сможете использовать огромную силу<c>!"""
text03#0,"""Для начала попробуйте атаковать врагов, чтобы зарядить Dark Blast."""
text04#0,"""Как только заполнится шкала, вы сможете активировать Dark Blast из под-палитры."""
text101#0,"""1-я задача: <yellow>Накопите шкалу атакуя врагов,<br>и используйте Dark Blast из под-палитры"""
train_title#0,"""1-я задача: <yellow>Накопить шкалу атакуя врагов,<br>и использовать Dark Blast из под-палитры"""
tut_title#0,"""Использование Dark Blast"""
text100#0,"""・Атаковать врага <%NormalAttack><br>и накопить Dark Blast<br>・Использовать Dark Blast<br>из под-палитры<%SubPalette1>"""
text101#1,"""・Атаковать врага <%NormalAttack><br>и накопить Dark Blast<br>・Выбрать в под-палитре <%SubPaletteLeft><%SubPaletteRight><br>・Использовать Dark Blast <%SubPalette>"""
text100_v#0,"""・Выберите Dark Blast<br>в под-палитре"""
tut_win_title#0,"""Активация Dark Blast"""
tut_win_text100#0,"""Для использование Dark Blast'а, необходимо<br><c ffff00>установить умение в под-палитре<c>.<br><br>При атаке врага Dark Blast заряжается, и после<br>полной зарядки, вы сможете использовать Dark Blast.<br><br>Имеется ограничение в количество раз использования<br>Dark Blast на квест, и он может быть активирован<br>лишь <c ffff00>1 раз за квест<c>."""
tut_vita_text100#0,"""ダークブラストを使用するためには<br>「ダークブラスト」を<br><c ffff00>サブパレットにセット<c>する必要があります。<br><br>エネミーを攻撃していくことで<br>ダークブラストが使用可能になります。<br><br>ダークブラストを発動できる回数には<br>制限があり、一度のクエスト内で<br><c ffff00>１回だけ<c>発動することができます。"""
