name01#0,"""Сиерра"""
text01#0,"""У Dark Blast'ов также имеются<br>особые мощные приёмы!"""
text02#0,"""<red>Ultimate Impact<c>, который можно<br>назвать особым приёмом, можно<br>использовать только один раз<br>за активацию Dark Blast'а!"""
text101#0,"""5-я задача: <yellow>Используйте Ultimate Impact из под-палитры"""
train_title#0,"""5-я задача: <yellow>Использовать Ultimate Impact из под-палитры"""
tut_title#0,"""Использование Ultimate Impact"""
text100#0,"""・Активируйте Ultimate Impact <%SubPalette2>"""
text101#1,"""・Выберите в под-палитре <%SubPaletteLeft><%SubPaletteRight><br>・Активируйте Ultimate Impact <%SubPalette>"""
text100_v#0,"""・Активируйте Ultimate Impact из под-палитры"""
tut_win_title#0,"""『アルティメットインパクト』について"""
tut_win_text100#0,"""Ultimate Impact - это мощное умение, которое<br>собирает фотоны в обе руки, а затем выпускает<br>их перед вами.<br><br>У него очень широйки радиус поражения и сила атаки,<br>но его можно использовать лишь один раз<br>за всю активацию."""
