name01#0,"""Астарта"""
11_voice_shop_410#0,"""Приветствую. <br>Меня зовут Астарта.<br>Я Основной инструктор ARKS."""
text02#0,"""Я приписана к <c bb0000>Пути ARKS, программе обучения<c>."""
text03#0,"""Путь ARKS - это обучающая программа, дающая базовые знания об ARKS."""
text04#0,"""Это программа <c bb0000>строго рекомендована<c> для тех, кто не привык к деятельности ARKS."""
text05#0,"""Думаю, будет проще понять, когда вы сами это увидите.<br>Сначала возьмите это."""
text06#0,"""По мере заполнения карты штампов вы будете больше узнавать об ARKS."""
text07#0,"""В вашем случае, вы уже выполнили несколько задач. Я отмечу их на будущее."""
text08#0,"""Если есть какие-то невыполненные задания, идите и сделайте их."""
text09#0,"""Обычное дело, когда вы не знаете удивительно простых вещей. Проверить это было бы хорошей идеей."""
text10#0,"""Если вы не понимаете чего-то в задании, надеюсь, приходите ко мне, чтобы спросить об этом."""
text00#0,"""О Пути ARKS"""
text01#0,"""Путь ARKS это программа обучения для новичков ARKS. По мере выполнения задач вы получаете штампы в вашу карту штампов и изучаете управление, функции и основную информацию об ARKS. *Уже законченные цели автоматически отмечаются штампом."""
text02#1,"""Иконка навигации отображает направление до цели в Пути ARKS. Число, написанное под ним, отображает расстояние до цели. Если вы не знаете, что является вашей целью, следуйте за иконкой навигации, и вы достигнете ее. Если вы не хотите, чтобы эта иконка появлялась, вы можете отключить ее в Настройках."""
text03#1,"""Вы можете поговорить с Астартой о текущей задаче. Если вы не знаете что нужно делать, то спросите Астарту. Астарта находится в Центральном зале Зоны врат."""
