IncidentName#0,"""$(0)토벌"""
TrialBeginMsg#0,"""$(0)을/를 쓰러뜨려라!"""
TrialAbstract#0,"""$(0)을/를 토벌하라!"""
NpcComOnPreBegin#0,"""강력한 열원 반응이 접근!<br>주의해주십시오, 옵니다!"""
NpcComOnBegin#0,"""긴급 연락!<br>새로운 에너미의 접근을 확인!"""
NpcComOnSuccess#0,"""$(0)의<br>격파를 확인했습니다!<br>각 대원의 협력에 감사드립니다!"""
NpcComOnPreBegin#1,"""이것 참 강력한 열원 반응이군.<br>방심하지 마라, 이건 큰 놈이다."""
NpcComOnBegin#1,"""새로운 적성 반응의 접근을 확인!<br>경계를 게을리 하지 마라."""
NpcComOnSuccess#1,"""목표의 격파를 확인했다.<br>각 대원, 통상 임무로 복귀하라."""
NpcComOnPreBegin#2,"""이 열원 반응은 이상해요!<br>정말로 주의해주세요!"""
NpcComOnBegin#2,"""와와왓!\u3000새로운 적!?\u3000<br>어느 새 이렇게 가까이!?"""
NpcComOnSuccess#2,"""어, 어떻게든 목표의 격파에<br>성공한 모양이예요-.<br>후우, 다행이다아……"""
NpcComOnPreBegin#3,"""주변에의 경계를 강화해주십시오.<br>강력한 반응이 감지되고 있습니다."""
NpcComOnBegin#3,"""긴급 통지.<br>새로운 적성 반응이 접근.<br>격파해주십시오."""
NpcComOnSuccess#3,"""목표를 격파.<br>훌륭한 대응이었습니다."""
NpcComOnPreBegin#4,"""주변, 경계해주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#4,"""긴급 통지입니다!<br>강력한 적성 반응을 확인했습니다!<br>급히 대응을 부탁드립니다!"""
NpcComOnSuccess#4,"""적성 반응, 소실 확인!<br>훌륭합니다!"""
NpcComOnPreBegin#5,"""주변, 경계해주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#5,"""긴급 통지입니다!<br>강력한 적성 반응을 확인했습니다!<br>급히 대응을 부탁드립니다!"""
NpcComOnSuccess#5,"""적성 반응, 소실 확인!<br>훌륭합니다!"""
