IncidentName#0,"""시바를 쓰러뜨려라!"""
TrialBeginMsg#0,"""종말의 여신・시바를 격퇴하라!"""
TrialAbstract#0,"""종말의 여신・시바를 격퇴하라!"""
NpcComOnBegin#0,"""긴급 통지.<br>강력한 적성 반응을 확인.<br>조속히 격파해주십시오."""
NpcComOnSuccess#0,"""적성 반응, 소실되었습니다.<br>각 대원의 노력에 감사드립니다."""
NpcComOnBegin#1,"""긴급 통지다.<br>강력한 적성 반응이 확인되었다.<br>조속히 격파하라."""
NpcComOnSuccess#1,"""적성 반응의 소실을 확인.<br>잘 했군."""
NpcComOnBegin#2,"""기, 긴급 통지예요-!<br>강력한 적 씨의 반응을 확인!<br>서둘러 격파해주세요-!"""
NpcComOnSuccess#2,"""/face2 적 씨의 반응 소실-!<br>모두들, 수고하셨습니다-!"""
NpcComOnBegin#3,"""긴급 통지.<br>강력한 적성 반응을 감지.<br>신속한 대응 바랍니다."""
NpcComOnSuccess#3,"""적성 반응, 소실.<br>임무 완료를 확인했습니다."""
NpcComOnBegin#4,"""긴급 통지입니다!<br>강력한 적성 반응을 확인했습니다!<br>급히 대처 부탁드립니다!"""
NpcComOnSuccess#4,"""적성 반응, 소실 확인!<br>훌륭합니다!"""
NpcComOnBegin#5,"""긴급 통지입니다!<br>강력한 적성 반응을 확인했습니다!<br>급히 대처 부탁드립니다!"""
NpcComOnSuccess#5,"""적성 반응, 소실 확인!<br>훌륭합니다!"""
