ssc_012010_5010#0,"""อ่า ได้เวลาแล้วสินะ?"""
ssc_012010_0010#0,"""ขอบคุณที่มานะ"""
ssc_012010_0020#0,"""เพราะพวกเธอเลยนะ การเตรียมงานคอนเสิร์ตถึงเสร็จสมบูรณ์"""
ssc_012010_0030#0,"""ตอนนี้พวกเราก็แค่รอให้การแสดงเริ่มเท่านั้น"""
ssc_012010_0040#0,"""คนเยอะจังเลย!"""
ssc_012010_0050#0,"""อ๊ะ พวกเธอก็มาด้วยเหมือนกันเหรอ"""
ssc_012010_0060#0,"""แน่นอนสิ พวกเรามาฟังนาเดเรห์ (Nadereh) ร้องเพลงนี่นา"""
ssc_012010_0070#0,"""คราวนี้มีวงดนตรีมาเล่นบรรเลงด้วยล่ะ รอไม่ไหวแล้วสิ"""
ssc_012010_0080#0,"""ทุกคนจะเล่นกันอย่างสุดฝีมือเลยล่ะ หวังว่าพวกเธอจะสนุกกับมันนะ"""
ssc_012010_0090#0,"""...แต่ว่า มีคนพบเห็นพวก DOLLS ในบริเวณนี้น่ะสิ"""
ssc_012010_0100#0,"""ถ้าเกิดอะไรขึ้น ช่วยปกป้องสถานที่จัดงานทีจะได้ไหม?"""
ssc_012010_0110#0,"""อื้อ เข้าใจแล้ว!"""
ssc_012010_0120#0,"""อา ได้เวลาแล้วล่ะ"""
ssc_012010_5020#0,"""วู้ฮู้! นาเดเรห์ (Nadereh)!"""
ssc_012010_0130#0,"""ทุกท่านคะ ขอบคุณที่มาร่วมงานในวันนี้นะคะ"""
ssc_012010_0140#0,"""ฉันเคยพูดถึงจุดประสงค์ของคอนเสิร์ตครั้งนี้ไปก่อนหน้านี้แล้ว"""
ssc_012010_0150#0,"""อย่างที่ทุกคนทราบกันดี ดนตรีเคยเป็นส่วนสำคัญในชีวิตของชาวเรเทม (Retem)"""
ssc_012010_0160#0,"""พวกเราหวังว่าจะสามารถฟื้นฟูดนตรีให้กลับมาเป็นส่วนหนึ่งในวัฒนธรรมของเราได้"""
ssc_012010_0170#0,"""คอนเสิร์ตในวันนี้คืออีกก้าวหนึ่งที่จะนำไปสู่สิ่งนั้น มันเป็นโอกาสที่ดีในการสานต่อเป้าหมายนี้ค่ะ"""
ssc_012010_0180#0,"""ถึงอย่างนั้น นี่ก็ไม่ใช่งานที่เป็นทางการอะไร ขอให้ทุกคนทำตัวตามสบายและสนุกไปกับงานนะคะ"""
ssc_012010_5030#0,"""โอ้ เจ๋งไปเลย!"""
ssc_012010_5040#0,"""เหวอ อะไรน่ะ?!"""
ssc_012010_0190#0,"""Lenus...?!"""
ssc_012010_0200#0,"""เดี๋ยวนะ นั่นมันไม่ใช่ตัวที่เราเคยสู้ด้วยนี่นา...?!"""
ssc_012010_0210#0,"""เป็นอีกสายพันธุ์นึงน่ะ ความสามารถของมันอาจจะต่างออกไป ระวังตัวด้วยนะ"""
ssc_012010_0220#0,"""ฮาดิ (Hadi) พวกเราจะจัดการทางนี้เอง! พวกนายช่วยคุ้มกันทุกคนให้ปลอดภัยทีนะ"""
ssc_012010_0230#0,"""เข้าใจแล้ว!"""
