name_7656#0,"""Segreto"""
ssn_013030_0001#0,"""Hello... It's a pleasure to meet you..."""
ssn_013030_0002#0,"""I look forward to working together..."""
ssn_013030_0101#0,"""Are you familiar with... Weapon \""Potential\"" Abilities?"""
ssn_013030_0102#0,"""If you aren't... Then would you like me to teach you?"""
ssn_013030_0201#0,"""Very well... Let me know if you're ever interested..."""
ssn_013030_0301#0,"""Each weapon has... its own hidden potential..."""
ssn_013030_0302#0,"""You can unlock this potential... by having your weapon treated with materials and a catalyst."""
ssn_013030_0303#0,"""So... you'll need both Ores... and Photons to catalyze them..."""
ssn_013030_0304#0,"""Here... I'll give you some of mine... Please go try it out at the Item Lab."""
ssn_013030_0401#0,"""So... What do you think?"""
ssn_013030_0402#0,"""All it takes is a weapon... and some Photon-catalyzed \""Ores\""..."""
ssn_013030_0403#0,"""I wonder what secrets... your weapons have hidden within them..."""
ssn_013030_0404#0,"""All that's left... is for you to uncover them..."""
