st_063030_0020#0,"""Bienvenidos."""
st_063030_0030#0,"""Alma-san! ¿Está bien su cuerpo?"""
st_063030_0040#0,"""No esta en perfecto estado, pero... Xiao, ha vuelto y no puedo dormir demasiado."""
st_063030_0050#0,"""La ubicacion de las fuerzas enemigas es esta. Una señal de reenvío, aparentemente llegando directamente a la ciudad."""
st_063030_0060#0,"""¿No es como un reconocimiento de Photons?<br>Si hablas en serio, eso es un problema"""
st_063030_0070#0,"""Sin embargo, si sabes que vendrá, ¡Hay una contramedida!"""
st_063030_0080#0,"""Este movimiento también se puede  predecir para ser interceptado inmediatamente después de la aparición."""
st_063030_0090#0,"""En otras palabras, el primer golpe es el mas importante.<br>Me gustaría dejartelo."""
st_063030_0100#0,"""Déjamelo a mi"""
st_063030_0110#0,"""Puede que no estés segur@"""
st_063030_0120#0,"""Si Yo también... ¡daremos nuestro mejor esfuerzo juntos!"""
st_063030_0130#0,"""Está bien, <%me>.<br>¡daremos nuestro mejor esfuerzo juntos!"""
st_063030_0140#0,"""Muy bien cuento con ustedes dos."""
