st_062080_0210#0,"""Hah!"""
st_062080_0220#0,"""Hg...rrrrgh...!"""
st_062080_0230#0,"""〔Are you okay?!〕"""
st_062080_0240#0,"""Why... you!"""
st_062080_0250#0,"""Haaa.... haaa...! This is our last hope... I won't let you take it away from us!"""
st_062080_0260#0,"""Haaaah!"""
st_062080_0265#0,"""Guh...!"""
st_062080_0270#0,"""Get out...of the way!"""
st_062080_0275#0,"""Hah...! Hah...!"""
st_062080_0280#0,"""Gh...!"""
st_062080_0285#0,"""Nooo!"""
st_062080_0290#0,"""Ah...ahhhh... It can't...!"""
st_062080_0300#0,"""〔Now we...〕"""
st_062080_0310#0,"""I'm sorry... I'm so sorry...! I couldn't... protect it...!"""
st_062080_0320#0,"""I fought so hard...as hard as I could... We were so close... but I failed."""
st_062080_0330#0,"""I wanted to save Xiao...! But I... I...!"""
st_062080_0340#0,"""It's not over yet!"""
st_062080_0350#0,"""Xiao is still alive!"""
st_062080_0360#0,"""Xiao is still...inside of me..."""
st_062080_0370#0,"""You're right, he's still here in my heart!"""
st_062080_0380#0,"""Which means the essence of all creation... is in my heart!"""
