un_061200_0001#0,"""A.P.242/2/21"""
un_061200_0010#0,"""¡ARKS! ¡Será difícil, pero este es un momento crítico! ¡Trabajemos todos juntos y hagamos nuestro mejor esfuerzo!"""
un_061200_0020#0,"""...Uf. Eso es todo para la notificación de toda la flota."""
un_061200_0030#0,"""¡Gran trabajo, Ulc!"""
un_061200_0040#0,"""Lo hiciste bien, Ulc.<br>Oh, <%me> ha llegado."""
un_061200_0050#0,"""Oh, Hola. Perdón por caer tanto en tu regazo."""
un_061200_0060#0,"""Estamos haciendo todo lo posible... todos deben participar."""
un_061200_0070#0,"""Muy bien, a continuación nosotros... ¿Eh? Me siento un poco mareada..."""
un_061200_0080#0,"""ウルクっ！"""
un_061200_0090#0,"""¿Estás bien?, Ulc...?!"""
un_061200_0100#0,"""Ahaha, no fue nada, de verdad. Gracias, Theo."""
un_061200_0110#0,"""Nada de ahaha. Te estás esforzando demasiado."""
un_061200_0120#0,"""Ah... ¿Eso crees?"""
un_061200_0130#0,"""Claramente estás en tu límite. ¡Si sigues así, realmente vas a colapsar!"""
un_061200_0140#0,"""Pero si no hago lo que debo en este momento, todo habrá sido en vano. No hay forma de que pueda descansar."""
un_061200_0150#0,"""...Sí, supongo. Muy bien, seguiremos adelante. Le daré todo lo que tengo también."""
un_061200_0160#0,"""Oh? Esto es nuevo. Por lo general, intentas detenerme o tener los pies fríos."""
un_061200_0170#0,"""Hahaha... eso es verdad. En el pasado, hubiera tratado de hacerte descansar, o me hubiera sentido desanimado por mi inutilidad."""
un_061200_0180#0,"""Incluso ahora, todavía tengo muchas dudas. Pero cuando te veo trabajando tan duro, siento la necesidad de apoyarte en todo lo que pueda."""
un_061200_0190#0,"""Me quedaré a tu lado... Eso es lo que he decidido."""
un_061200_0200#0,"""……えへ、えへへー。"""
un_061200_0210#0,"""Huh, qU-que? ¿Qué pasa, estás bien?"""
un_061200_0220#0,"""De hecho, ¡estoy lista para volver al trabajo! Gracias Theo!"""
un_061200_0230#0,"""Todo esto es muy dulce, pero ¿estás seguro de que ahora es el momento adecuado para obtener todo el amor?"""
un_061200_0240#0,"""Si, en serio."""
un_061200_0250#0,"""No seas así, Xiera."""
un_061200_0260#0,"""Piensa en dónde estás... No quiero molestar, ¡pero ustedes dos deberían llevar su romance a un lugar privado!"""
un_061200_0270#0,"""¡Q-qué quieres decir con eso! ¡No es que esté celosa ni nada!"""
un_061200_0280#0,"""Ahaha... Lo siento por eso. No quise preocupar a todos. ¡Todo está bien ahora!"""
un_061200_0290#0,"""¡Ahora es nuestro momento de brillar! ¡Vamos a bombear y seguir adelante, para darles a todos un futuro!"""
