st_061130_0110#0,"""Oye. ¿Estás bien, Sara?"""
st_061130_0120#0,"""シャオ……！？"""
st_061130_0130#0,"""...Esto es inesperado. Pero me ahorra el esfuerzo."""
st_061130_0140#0,"""¡<%me>!"""
st_061130_0150#0,"""サラ！\u3000シャオくん！<br>……っ！"""
st_061130_0160#0,"""...Xiao!! ¡¿Qué estás haciendo?!"""
st_061130_0170#0,"""Bueno, ahaha... Es la respuesta a la que he venido. Tenía algo que necesitaba proteger."""
st_061130_0180#0,"""...¡Idiota! ¿Por qué me protegerías?"""
st_061130_0190#0,"""Sé que es ilógico. Pero mi cuerpo se movió antes de que tuviera tiempo de pensar...."""
st_061130_0200#0,"""Realmente ahora, incluso me estoy volviendo demasiado humano... Entonces, creo que voy a descansar, como hacen los humanos."""
st_061130_0210#0,"""¡Xiao! ¡Xiao!"""
st_061130_0220#0,"""っ！<br>シャオ……っ！"""
