un_065010_0010#0,"""Bien bien. Una reunión especial aquí."""
un_065010_0020#0,"""Lisa solo le estaba presentando a Zieg."""
un_065010_0030#0,"""Un arma Génesis clase Rifle, Star Gun Harriet... Ya veo, ya veo."""
un_065010_0040#0,"""¿Y dónde está exactamente Harriet?"""
un_065010_0050#0,"""Estoy aquí."""
un_065010_0060#0,"""Ohh, tus Photons se usaron para dar poder al arma Génesis. Una especial, como Aurora."""
un_065010_0070#0,"""¿Las otras armas de Génesis no tienen personalidades?"""
un_065010_0080#0,"""¿Las otras no son así?"""
un_065010_0090#0,"""Bien, ellas no."""
un_065010_0100#0,"""Bien, las otras Armas de Génesis no hablan así."""
un_065010_0110#0,"""Son exigentes con sus portadores, pero nunca hablan directamente usando palabras."""
un_065010_0120#0,"""Las armas como Tsukuriyo y Clarissa III no fueron creadas usando a nadie como base."""
un_065010_0130#0,"""Sin embargo, Aurora y Harriet son completamente diferentes. Esos dos tienen voluntades propias."""
un_065010_0140#0,"""Supongo que sus almas estaban vinculadas a estas formas a través de los Photons. Luego se vincularían con el usuario y manifestarían su poder."""
un_065010_0150#0,"""Las antiguas armas de Génesis también poseían almas humanas. Debido a su conexión con Xion, pueden producir resultados abrumadores.."""
un_065010_0160#0,"""Desafortunadamente, eso significa que la vida útil del arma depende de cuánto tiempo permanezca el alma."""
un_065010_0170#0,"""Así fue con Yonohate. Pude reparar su forma física, pero su poder nunca regresó... El alma que estaba contenida se perdió."""
un_065010_0180#0,"""...Es probable que el alma de Yonohate sintiera que había completado sus deberes. Habiendo cumplido su misión, desapareció satisfecho."""
un_065010_0190#0,"""Estoy seguro de que encontró su paz."""
un_065010_0200#0,"""...Supongo que sí."""
un_065010_0210#0,"""Dicho esto, me siento mal por Labrys después de todas las veces que tuve que repararla."""
un_065010_0220#0,"""Me pregunto si también quiere ser reemplazado. Si tan solo pudiera preguntarle al alma cómo se siente."""
