un_065025_0010#0,"""ねーねー、おじさーん。<br>遊ぼうよー遊ぼうよー。"""
un_065025_0020#0,"""ねーねー、おじさーん。<br>暇でしょー暇でしょー。"""
un_065025_0030#0,"""……うざってェぞガキ共！<br>テメェらと遊ぶほど暇じゃねえ！"""
un_065025_0040#0,"""えー、なんでー？<br>暇なのに遊んでくれないのー？"""
un_065025_0050#0,"""えー、どうしてー？<br>どうしたら遊んでくれるのー？"""
un_065025_0060#0,"""……おいガキ共、いい加減にしろよ。<br>テメェらがやったことを<br>忘れたとは言わせねぇぞ。"""
un_065025_0070#0,"""テメェらがいなければ……<br>シーナが死ぬことは……なかったッ！"""
un_065025_0080#0,"""……ごめんなさい。"""
un_065025_0090#0,"""……ごめんなさい。"""
un_065025_0100#0,"""……ッ！\u3000謝るんじゃねェ！<br>余計にみじめになるだろうが……！"""
un_065025_0110#0,"""わかってんだよ！<br>お前らと【双子】は違うってのは……！"""
un_065025_0120#0,"""だが、それでも……お前らの姿は<br>【双子】そのままで……<br>どこまでもオレを苦しめるッ！"""
un_065025_0130#0,"""……わかっただろ。<br>これ以上オレに構うんじゃねえ。"""
un_065025_0140#0,"""だったらなおさら。"""
un_065025_0150#0,"""いっしょに遊ぼう。"""
un_065025_0160#0,"""てっ……テメェら！？"""
un_065025_0170#0,"""忘れて欲しいなんて思わない。"""
un_065025_0180#0,"""許して欲しいなんて思わない。"""
un_065025_0190#0,"""怒られるのはいやだけど<br>怒られて当然だと思う。"""
un_065025_0200#0,"""殴られるのはいやだけど<br>殴られて当然だと思う。"""
un_065025_0210#0,"""それでも今、ぼくは<br>おじさんと遊びたいと思ったの。"""
un_065025_0220#0,"""わたしはおじさんと<br>一緒に遊びたいって思ったの。"""
un_065025_0230#0,"""自分の気持ちに嘘をつかないって<br>ここに来るときに、決めたから。"""
un_065025_0240#0,"""嘘をつき続けて<br>おかしくなったのを、見てるから。"""
un_065025_0250#0,"""ぼくたちは、やりたいことをやる。"""
un_065025_0260#0,"""わたしたちは、やりたいことをやる。"""
un_065025_0270#0,"""だから……<br>あそぼっ！\u3000あそぼっ！"""
un_065025_0280#0,"""……ったくよォ。<br>オレの周りに集まるガキはどうして<br>どいつもこいつもワガママなんだ？"""
name01#0,"""フラウ"""
name02#0,"""フロー＆フラウ"""
