un_061140_0010#0,"""Gran trabajo. Sí, he recibido los datos de la operación."""
un_061140_0020#0,"""... Ya veo, así que es así. Los datos en vivo realmente son completamente diferente."""
un_061140_0030#0,"""La carga del sistema de accionamiento es una locura. Si bien aumentó su movilidad, la durabilidad reducida es una píldora difícil de tragar..."""
un_061140_0040#0,"""Ahaha ... ¿Verla tan absorta en su trabajo como este te recuerda un poco a Xiera?"""
un_061140_0050#0,"""Ahora que lo mencionas..."""
un_061140_0060#0,"""No se parecen en absoluto."""
un_061140_0070#0,"""¿Ves lo que quiero decir? Casi como si fueran hermanas perdidas hace mucho tiempo ..."""
un_061140_0080#0,"""No estoy hablando de su apariencia. Quise decir que se ven similares cuando se centran en su trabajo."""
un_061140_0090#0,"""Pero debe ser solo mi imaginación. Xiera es la única High Cast de la Nave."""
un_061140_0100#0,"""Supongo que eso nos haría similares. De cualquier manera, soy un Cast Tipo Ludmilla."""
un_061140_0110#0,"""¿Eh? De Verdad?"""
un_061140_0120#0,"""Después de que Void se disolvió, la División de Investigación fue barajada durante la reorganización de ARKS."""
un_061140_0130#0,"""No hubo genios como Luther después de que todo cambio, pero hubo toneladas de expertos en campos individuales."""
un_061140_0140#0,"""Reunieron todo su conocimiento y experiencia en una base de datos, y la aplicaron a un módulo especializado en computación."""
un_061140_0150#0,"""Y así fue como me hicieron. Soy la encargada de la División de Investigación A.I.S.  High Cast Ludmilla."""
un_061140_0160#0,"""¡Ya veo! Así que hay otros High Casts además de Xiera."""
un_061140_0170#0,"""Sip. Y es mi deber investigar a fondo, mejorar y superar el campo de A.I.S."""
un_061140_0180#0,"""Lo que significa que necesito todos los datos sobre ellos que puedo obtener para mi trabajo."""
un_061140_0190#0,"""Así que tráeme todo lo que puedas. Adios"""
un_061140_0200#0,"""Escuchar todo eso realmente me hace querer ayudar, a pesar de que no soy buena para pilotarlos."""
un_061140_0210#0,"""Muy bien, haré lo mejor que pueda! ¡Ayudemos juntos!<br><%me>!"""
