name_7696#0,"""เมอเรีย"""
ssn_014530_0001#0,"""รู้สึกเหมือนก้าวต่อไปได้สักที ฉันจะพยายามให้ถึงที่สุด!"""
ssn_014530_0002#0,"""ขอบคุณนะ!"""
ssn_014530_0101#0,"""หืม? สบายดีไหมน่ะเหรอ...?"""
ssn_014530_0102#0,"""ก็พยายามใช้ชีวิตตามปกติแล้วล่ะนะ... แม้ว่าจะมีเรื่องนึงที่ยังคงกวนใจอยู่ก็เถอะ..."""
ssn_014530_0103#0,"""ถ้าไม่รังเกียจ มีเรื่องอยากจะคุยด้วยหน่อยน่ะ พอจะช่วยได้ไหม?"""
ssn_014530_0201#0,"""...อะไรนะ? ทำไมฉันถึงเหงื่อแตกน่ะเหรอ? กะ-ก็เพราะพวกเราอยู่กลางทะเลทรายไง!"""
ssn_014530_0202#0,"""เอาล่ะ ไปจัดการพวกศัตรู Dread เหล่านั้นกันเถอะ!"""
ssn_014530_0301#0,"""ดูเหมือนจะขอผิดเวลาสินะ... อ้อ ไม่เป็นไรหรอก ไม่มีอะไร ช่างมันเถอะ"""
ssn_014530_0401#0,"""คุณนี่สุดยอดจริงๆ เลย ฉันเทียบอะไรกับคุณไม่ได้เลยสักนิด"""
ssn_014530_0402#0,"""แต่ถึงยังไงฉันก็ยังเป็น ARKS จะพยายามอย่างเต็มที่เพื่อตามรอยคุณให้ได้แม้เพียงเศษเสี้ยวก็ตาม!"""
