name_7663#0,"""シャルキ"""
ssn_005130_0001#0,"""……新人か。<br>まだ基礎を学んでいるようだな。"""
ssn_005130_0002#0,"""……もう少し腕を磨いたら、また来るといい。"""
ssn_005130_0101#0,"""……待っていた。<br>私はレンジャー教導官、シャルキ。"""
ssn_005130_0102#0,"""……グイーデンから、あらましは聞いた。<br>レンジャーについて学びたいか？"""
ssn_005130_0301#0,"""……そうか。<br>気が変わったら、また声をかけてくれ。"""
ssn_005130_0151#0,"""……レンジャーではないな。"""
ssn_005130_0152#0,"""……訓練したければ”クラスカウンター”で<br>クラスをレンジャーにしてきてほしい。"""
ssn_005130_0153#0,"""……レンジャーのクラススキル習得も忘れないようにしておいて。"""
ssn_005130_0103#0,"""……レンジャーは遠距離からの射撃に長けたクラス。"""
ssn_005130_0104#0,"""……エネミーと距離を取れるぶん、安全に戦える。"""
ssn_005130_0105#0,"""……そして、すすめておきたいクラススキルがある。<br>それが……“ウィークバレット”。"""
ssn_005130_0106#0,"""……手強い敵と戦うとき、有効的だろう。"""
ssn_005130_0107#0,"""……まずは、実戦で試すといい。訓練の課題を出そう。"""
ssn_005130_0201#0,"""……どうだった？<br>その様子だと、手応えあったようだな。"""
ssn_005130_0202#0,"""……戦闘のポイントは、やはりクラススキル。<br>スキルで戦いの幅は広がる。"""
ssn_005130_0203#0,"""……場数を踏むといい。<br>期待している。"""
