msc_023090_0010#0,"""ขอโทษนะ พอจะมีเวลาสักหน่อยไหม?"""
msc_023090_0020#0,"""คุณคือคนที่เอาชนะ<br>Dark Falz ร่วมกับครูฝึกไอน่าใช่ไหม?"""
msc_023090_0030#0,"""ใช่แล้วล่ะ"""
msc_023090_0040#0,"""แล้วพวกเธอสองคนคือ...?"""
msc_023090_0050#0,"""ว่าแล้วเชียว!"""
msc_023090_0060#0,"""อ้า ขอโทษทีนะ!"""
msc_023090_0070#0,"""ชื่อริคัวร์ (Ricoeur) น่ะ"""
msc_023090_0080#0,"""เป็นหนึ่งในคนที่ไอน่ากำลังฝึกอยู่น่ะ<br>ส่วนนี่คือลูก้า (Luka)"""
msc_023090_0090#0,"""ส-สวัสดี ชื่อลูก้า (Luka) นะ"""
msc_023090_0100#0,"""ดีใจที่ได้พบนะ"""
msc_023090_0110#0,"""เป็นแฟนคลับตัวยงของพวกคุณเลยล่ะ!"""
msc_023090_0120#0,"""อยากจะเป็น ARKS ที่แข็งแกร่งเหมือนคุณกับคุณไอน่า<br>ก็เลยตัดสินใจสมัครเข้าหน่วยรบยังไงล่ะ!"""
msc_023090_0140#0,"""นี่ ริคัวร์ (Ricoeur)! ทำตัว<br>ตีสนิทเกินไปหรือเปล่าเนี่ย?"""
msc_023090_0150#0,"""จ-จะเป็นอะไรไปเล่า?! ก็แค่ตื่นเต้น<br>ที่ได้มาเจอตัวจริงนี่นา..."""
msc_023090_0160#0,"""ยกโทษให้เขาด้วยเถอะ แต่ว่านะ<br>พวกเราชื่นชมพวกคุณทุกคนจริงๆ นะ"""
msc_023090_0170#0,"""พวกเรารู้สึกขอบคุณมากเลยล่ะ<br>ที่ได้คุณไอน่ามาเป็นครูฝึกให้น่ะ"""
msc_023090_0180#0,"""ไอน่าเป็นครูฝึกที่ดีไหม?"""
msc_023090_0190#0,"""รู้สึกยังไงกับไอน่าบ้างล่ะ?"""
msc_023090_0200#0,"""อ้อ แน่นอนอยู่แล้ว!"""
msc_023090_0210#0,"""...แต่ก็มีแอบรู้สึกนิดหน่อย..."""
msc_023090_0220#0,"""เธอเป็นคนที่ใจดีมากๆ เลยล่ะ"""
msc_023090_0230#0,"""...แต่คือว่า แบบว่า..."""
msc_023090_0240#0,"""น-นี่ คิดจะพูดอะไรออกไปน่ะ?!"""
msc_023090_0250#0,"""ก็นะ รู้ไหม..."""
msc_023090_0260#0,"""คิดอะไรก็พูดออกมาเถอะ"""
msc_023090_0270#0,"""มีปัญหาอะไรกับไอน่างั้นเหรอ?"""
msc_023090_0280#0,"""เอ่อ คือว่านะ..."""
msc_023090_0290#0,"""ก็ไม่ได้จะเรียกว่าเป็น 'ปัญหา' ซะทีเดียวหรอกนะ..."""
msc_023090_0300#0,"""คุณไอน่าเป็นคนที่เป็นมิตร<br>และก็เป็นคนดีมากๆ เลยล่ะ แต่ว่า..."""
msc_023090_0310#0,"""สไตล์การสอนของเธอค่อนข้างจะไม่ปกติน่ะ...<br>เอ่อ จะบอกว่า 'มีเอกลักษณ์' ก็คงจะได้มั้ง..."""
msc_023090_0320#0,"""และบางครั้งก็ไม่ค่อยจะ<br>เข้าใจเท่าไหร่ว่าเธอหมายถึงอะไร..."""
msc_023090_0330#0,"""อ-อื้ม ตอนแรกๆ ก็สับสนอยู่เหมือนกันนะ...<br>แต่ว่า ช่วงหลังๆ มานี้เธอก็เริ่มสอนให้เข้าใจง่ายขึ้นแล้วนี่นา จริงไหมล่ะ?"""
msc_023090_0340#0,"""แต่ว่า อย่างตอนทดสอบทเรเนีย (Trainia) ก่อนหน้านี้..."""
msc_023090_0350#0,"""พวกเราได้คะแนนเยอะกว่าตอนที่ทำตามวิธีของฉัน<br>มากกว่าตอนที่ทำตามคำแนะนำของคุณไอน่าอีกไม่ใช่เหรอ?"""
msc_023090_0360#0,"""นั่นมันก็แค่บังเอิญฟลุค..."""
msc_023090_0370#0,"""แล้วครั้งอื่นๆ ล่ะ?"""
msc_023090_0380#0,"""อืมมม..."""
msc_023090_0390#0,"""บางคนก็คิดนะว่ามันน่าจะดีกว่าถ้าเธอแค่<br>สอนพื้นฐานให้ แล้วปล่อยให้พวกเราฝึกกันเองน่ะ"""
msc_023090_0400#0,"""ทางนี้ก็ไม่ได้ถูกใครสอนมาเหมือนกันนั่นแหละ"""
msc_023090_0410#0,"""ให้เวลาไอน่าอีกสักหน่อย แล้วก็ตั้งใจเรียนรู้จากเธอเถอะ"""
msc_023090_0420#0,"""อื้ม คิดแบบนั้นเหมือนกันแหละ"""
msc_023090_0430#0,"""อาจจะจริงอย่างที่พูดนะ..."""
msc_023090_0440#0,"""คุณไอน่าเอาแต่บอกให้พวกเรา<br>'คิดถึงสิ่งที่พวกเราอยากจะทำ' แต่ว่า..."""
msc_023090_0450#0,"""ถ้าพวกเราสามารถทำอะไรก็ได้ตามใจชอบ<br>แล้วมันจะไปมีประโยชน์อะไรล่ะ...? เข้าใจไหม..."""
msc_023090_0460#0,"""แต่ก็ก็นะ..."""
msc_023090_0470#0,"""พอแค่นี้เถอะ!"""
msc_023090_0480#0,"""ขอโทษจริงๆ นะที่จู่ๆ ก็เรียกไว้แบบนี้<br>แล้วก็ดันมาพูดจาแปลกๆ ให้อีก..."""
msc_023090_0490#0,"""ขอโทษจริงๆ นะ ขอโทษจากใจเลย<br>เอาล่ะ ไปกันเถอะ!"""
msc_023090_0500#0,"""อะไรเนี่ย? โธ่ ขออีกแป๊บนึงสิ..."""
name01#0,"""???"""
