a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
Title#0,"""T: Да здравствует Лас-Вегас!"""
Explanation#0,"""""Это временный тренировочный VR квест,<br>цель которого состоит в использовании<br>праздничной атмосферы для поднятия<br>боевого духа и повышения эффективности!<br>Чем больше врагов вы сможете одолеть<br>за отедённое время, тем лучше получите<br>награды. Одолейте как можно больше врагов в Лас-Вегасе, включая фантомов!<br>――――――――――――――――――――<br>Одолейте врага в конечной области.<br>Провал: время закончилось."""
NpcComMsg1#0,"""Тренировочный VR квест скоро<br>начнётся! Побеждайте врагов<br>и зарабатывайте очки квеста!"""
NpcComMsg2#0,"""Победив всех врагов за<br>отведённое время, вы получите<br>дополнительное время, которое<br>даст вам шанс победить ещё<br>больше!"""
NpcComMsg3#0,"""Чем больше очков квеста вы<br>заработаете, тем больше у вас<br>шансов получить хорошие награды.<br>Что ж, хорошенько постарайтесь!"""
SimpleExplanation#0,"""Побеждая врагов, зарабатывайте очки!"""
