Title#0,"""ビバ・ラスベガス！"""
Explanation#0,"""この任務は、期間限定で実施する<br>効率的戦闘および士気向上を目的とした<br>お祭りさわぎのＶＲ訓練です！<br>短時間で多くのエネミーを撃破することで<br>よりよい報酬が入手しやすくなります。<br>ラスベガスで、幻創種をはじめとした<br>エネミーをたくさん撃破してください！<br>――――――――――――――――――――<br>最深部に出現するエネミーの撃破でクリア<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、ＶＲ訓練を開始します！<br>次々と出現する敵をどんどん倒して<br>クエストポイントを稼いでください！"""
NpcComMsg2#0,"""制限時間内に素早く倒すことができれば<br>ボーナスタイムが発生し、さらに多くの<br>敵を倒せるようになります！"""
NpcComMsg3#0,"""クエストポイントをたくさん稼ぐほど<br>いい報酬が入手しやすくなりますよ。<br>それでは、がんばってください！"""
SimpleExplanation#0,"""エネミー撃破でポイントを獲得せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
