Title#0,"""마더의 소원"""
Explanation#0,"""마더 클러스터의 본거지인<br>달의 중추로 향하는 <%me> 일행.<br>마더를 쓰러뜨리고 알을 구하기 위한<br>각자의 마음과 소원이 충돌한다.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택"""
StoryExplanation#0,"""마더 클러스터의 본거지인<br>달의 중추로 향하는 <%me> 일행.<br>마더를 쓰러뜨리고 알을 구하기 위한<br>각자의 마음과 소원이 충돌한다."""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""위성 달"""
Area0S#0,"""위성 달"""
Area0L#0,"""위성 달\u3000지하 중추 시설"""
Area1S#0,"""위성 달"""
Area1L#0,"""위성 달\u3000지하 중추 시설"""
Area2S#0,"""위성 달"""
Area2L#0,"""위성 달\u3000지하 중추 시설"""
Area3S#0,"""위성 달"""
Area3L#0,"""위성 달\u3000지하 중추 시설"""
Area4S#0,"""위성 달"""
Area4L#0,"""위성 달\u3000지하 중추 시설"""
