st_061130_0110#0,"""안녕.<br>무사하니, 사라？"""
st_061130_0120#0,"""샤오……！？"""
st_061130_0130#0,"""……이건 놀랍군요.<br>하지만 수고를 덜었습니다."""
st_061130_0140#0,"""<%me>！"""
st_061130_0150#0,"""사라！ 샤오！<br>……！"""
st_061130_0160#0,"""……샤오！！<br>너 대체 무슨 짓이야！！"""
st_061130_0170#0,"""참, 하하하……<br>미리 성장해 두길 잘했어.<br>어떻게든 지켜 낸 것 같아 다행이야."""
st_061130_0180#0,"""……바보！<br>왜 나 같은 걸<br>감싸고……！"""
st_061130_0190#0,"""합리적인 판단이 아니라는 건 알아.<br>그래도 그래야 한다고 생각하니<br>몸이 멋대로 움직이더라……"""
st_061130_0200#0,"""참, 나도 인간에 너무 가까워졌나 봐……<br>……그러니 인간답게<br>조금만 쉴게."""
st_061130_0210#0,"""샤오！ 샤오오！"""
st_061130_0220#0,"""읏！<br>샤오……！"""
