un_061030_0001#0,"""A.P.242/2/23"""
un_061030_0010#0,"""……후우.<br>이제야 한숨 돌리겠네요."""
un_061030_0020#0,"""아크스 독립 운용 코드……<br>정말 쓰게 될 줄은<br>생각도 못 했어요."""
un_061030_0030#0,"""실례하겠습니다."""
un_061030_0040#0,"""윽, 카스라 씨.<br>무슨 일이세요？"""
un_061030_0050#0,"""여전히 미움을 사고 있군요.<br>뭐, 상관없습니다."""
un_061030_0060#0,"""마침 잘됐군요.<br><%me> 씨도<br>함께 들어 두십시오."""
un_061030_0070#0,"""아직 안심할 수 있는 상황은 아니지만<br>조금은 진정됐으니<br>보고를 드리겠습니다."""
un_061030_0080#0,"""먼저 마더 쉽은 완전히<br>시바와 그 세력에게 점령당했습니다."""
un_061030_0090#0,"""굳이 이름을 붙이자면 『마더 쉽 시바』라고<br>해야 할까요.<br>현재 위치는 추적 중입니다."""
un_061030_0100#0,"""각 아크스 쉽은 독립 운용 중입니다.<br>자세한 내용은 시에라가 더 잘 알겠죠."""
un_061030_0110#0,"""네.<br>처음에는 정신이 없었지만<br>지금은 이미 안정됐습니다."""
un_061030_0120#0,"""앞선 전투의 피해율은<br>아크스 전체의 약 40%……<br>사상자도 많이 발생했습니다."""
un_061030_0130#0,"""시바가 이끌고 온 적은<br>현재 조사 중입니다."""
un_061030_0140#0,"""저 기계처럼 생긴 적……<br>저것도 포토너일까요？"""
un_061030_0150#0,"""현재로서는 뭐라 단정할 수 없습니다.<br>다만 자아나 의지가 있는 것처럼<br>보이지 않았다는 보고가 있습니다."""
un_061030_0160#0,"""그럼 역시 기계 병기일까요？<br>아, 자료도 받은 것 같은데……<br>잠깐, 엄청 많이 왔어요！"""
un_061030_0170#0,"""잠깐만요, 카스라 씨！<br>이게 다 뭐예요……！？"""
un_061030_0180#0,"""말로는 핵심만 보고드렸습니다.<br>자세한 내용은 그 자료를<br>확인해 두시기 바랍니다."""
un_061030_0190#0,"""그럼 실례하겠습니다."""
un_061030_0200#0,"""왜 매번<br>정리도 안 하고 보내시는 거예요！<br>자료 정리와 관리도 제대로 해 주세요！"""
