un_061090_0010#0,"""그래도 포토너들은<br>정말 강했어."""
un_061090_0020#0,"""시바나 미트라 일행도 그랬지만<br>포톤을 흡수하는 것 같아서<br>공격이 거의 통하지 않았어."""
un_061090_0030#0,"""포톤 흡수는<br>포토너라면 누구나 할 수 있는 걸까？"""
un_061090_0040#0,"""아마도……<br>그건 시바의 가호입니다."""
un_061090_0050#0,"""시바의 가호……？"""
un_061090_0060#0,"""네. 시바 이외의 포토너에게는<br>포톤을 흡수하는 능력이 없습니다."""
un_061090_0070#0,"""그 능력은 모든 포톤을<br>받아들이기 위해 태어난<br>시바만이 지닌 힘입니다."""
un_061090_0080#0,"""시바는 그 능력을……<br>『종말의 여신의 가호』로 삼아 동료<br>포토너들에게 나눠 준 듯합니다."""
un_061090_0090#0,"""그럼 시바의 동료들은<br>모두 포톤을 흡수하는 능력을<br>갖고 있다는 거야？"""
un_061090_0100#0,"""네, 그렇습니다.<br>다만 그 능력에도 사람마다 차이가 있어<br>완전히 무적은 아닌 듯합니다."""
un_061090_0110#0,"""어, 정말？"""
un_061090_0120#0,"""네. 흡수할 수 있는 포톤의 양은<br>본인이 다룰 수 있는 포톤량의 한계를<br>넘지 못하는 듯합니다."""
un_061090_0130#0,"""즉 적이 흡수할 수 있는 양을 넘는 포톤으로<br>공격하면 전부 흡수하지 못해<br>피해를 줄 수 있을 겁니다."""
un_061090_0140#0,"""실제로 두 분은<br>포토너 병사들을<br>쓰러뜨렸잖아요？"""
un_061090_0150#0,"""맞아, 강하긴 했지만<br>쓰러뜨리긴 했어."""
un_061090_0160#0,"""그렇다면<br>시바가 받아들일 수 있는 포톤보다<br>더 강한 힘으로 공격할 수 있다면……"""
un_061090_0170#0,"""네, 가능성은 있습니다."""
un_061090_0180#0,"""하지만……<br>시바는 【심원의 어둠】 그 자체입니다."""
un_061090_0190#0,"""모든 포톤을 받아들이기 위해<br>만들어진 존재입니다."""
un_061090_0200#0,"""【심원의 어둠】이 지닌 막대한 포톤을<br>뛰어넘을 힘을 손에 넣으려면……"""
un_061090_0210#0,"""그건……<br>정말 어려운 일이겠네……"""
