name_7001#0,"""마논"""
name_7013#0,"""메리"""
msn_027660_0010#0,"""저번에 찾은<br>에아리오 채소 말인데…."""
msn_027660_0020#0,"""섬유질이 많다면<br>한번 데쳐보는 건 어떨까?"""
msn_027660_0030#0,"""그러면<br>부드러워지는… 거겠지?"""
msn_027660_0040#0,"""응, 그렇지."""
msn_027660_0050#0,"""그 외에도 기름을 두르고<br>고기와 함께 볶는 것도 좋을지도."""
msn_027660_0060#0,"""무언가 조사 중이야?"""
msn_027660_0070#0,"""아까부터 무슨 이야기야?"""
msn_027660_0075#0,"""또 봐!"""
msn_027660_0080#0,"""아니, 아니야."""
msn_027660_0090#0,"""요리 아이디어를<br>서로 내고 있었어."""
msn_027660_0100#0,"""둘이서 요리 아이디어를<br>서로 내고 있었어."""
msn_027660_0110#0,"""그, 그게…<br>요리를 시작해 봤어."""
msn_027660_0120#0,"""요즘은 여러 가지 일에<br>도전해 보려고 생각해서."""
msn_027660_0130#0,"""게다가 식재료 조달은<br>환경 조사도 겸하고 있어."""
msn_027660_0140#0,"""그러니까 여러모로 좋거든."""
msn_027660_0150#0,"""그건 그렇고 드문 조합이네."""
msn_027660_0160#0,"""언제 그렇게 친해진 거야?"""
msn_027660_0170#0,"""확실히 예전에는 둘이서 이야기할 기회는<br>별로 없었지만…."""
msn_027660_0180#0,"""아이나의 권유를 받고 나서<br>자주 와 주게 되었지."""
msn_027660_0190#0,"""처음에는 희귀한 식재료를 가져와 줬어."""
msn_027660_0200#0,"""어떤 활용 방법이 있는지<br>배우려고 생각해서."""
msn_027660_0210#0,"""그게 설마<br>이렇게 될 줄이야…."""
msn_027660_0220#0,"""최근에는 다른 리전과의 교류도 늘어서<br>여러 식재료를 구할 수 있게 됐어."""
msn_027660_0230#0,"""식재료가 늘어나면<br>요리 레시피도 늘릴 수 있어."""
msn_027660_0240#0,"""그런 이야기를 마논에게 했더니<br>자신도 만들어 볼까 하더라고."""
msn_027660_0250#0,"""어? 처, 처음에는<br>메리가 해보면 좋겠다고…."""
msn_027660_0260#0,"""뭐 어때<br>괜찮잖아."""
msn_027660_0270#0,"""나는<br>요리 동료가 늘어서 기뻐."""
msn_027660_0280#0,"""…정말."""
msn_027660_0290#0,"""그건 그렇고<br>마논은 정말 열심이네."""
msn_027660_0300#0,"""지금까지는<br>별로 요리에는 관심이 없었어."""
msn_027660_0310#0,"""식사는 필요한 에너지를<br>섭취할 수 있으면 된다고 생각했어."""
msn_027660_0320#0,"""하지만 요즘은<br>먹는 즐거움이라는 걸 알게 됐어."""
msn_027660_0330#0,"""그리고 만드는 즐거움도…."""
msn_027660_0340#0,"""마논의 요리 솜씨<br>굉장히 늘었어."""
msn_027660_0350#0,"""처음에는 뭐든지 새카맣게 만들었지만."""
msn_027660_0360#0,"""다음에 너도 먹으러 와."""
msn_027660_0370#0,"""아, 아직 일러…."""
msn_027660_0380#0,"""그럴까?"""
msn_027660_0390#0,"""전에도 회심의 역작이라고<br>스스로 말했잖아?"""
msn_027660_0400#0,"""그, 그게… 좀 더 잘하게 되면… 그때."""
msn_027660_0410#0,"""기대하고 있을게."""
msn_027660_0420#0,"""아이나도 같이."""
msn_027660_0430#0,"""응, 기대해 줘."""
msn_027660_0440#0,"""응.<br>물론이야."""
msn_027660_0450#0,"""지금까지 먹어본 적 없는<br>요리를 만들 수 있게 되어 보일게."""
