Title#0,"""Крылатый разрушитель границ"""
Explanation#0,"""惑星ナベリウスの壊世区域において<br>突如、世壊種だけでなく、原生種や<br>龍族、機甲種に海王種などのエネミーが<br>発生した。またその現象との関連は不明だが<br>局所的な激しい雷雨の発生と正体不明の<br>有翼型エネミーの出現も確認されている。<br>アークス各員は、至急現地に赴き<br>該当個体を調査し、必要に応じて討伐せよ。<br>――――――――――――――――――――<br>Неудача: потерпеть поражение в конечной местности."""
SimpleExplanation#0,"""Победите виновника аварии!"""
NpcComMsg1#0,"""Фиксирую активность Анги Фандаж.<br>Кажется, она всё ещё впереди."""
NpcComMsg2#0,"""В настоящее время личность этого<br>крылатого врага остаётся<br>неизвестной. Эти данные<br>отличаются от тех, которые<br>мы видели ранее. Мы не можем<br>оставить это как есть."""
NpcComMsg3#0,"""Мы не уверенны, что это вызвано<br>аномальной погодой...<br>Пожалуйста, немедленно<br>победите его."""
NpcComMsg1#1,"""-се...Все! Пожалуйста, ответье!<br>Какое облегчение...<br>Связь всё ещё держится."""
NpcComMsg2#1,"""Что это за место?..<br>Наши координаты всё ещё<br>находятся в пределах<br>Набериуса... Но это..."""
NpcComMsg3#1,"""Это самая необычная вещь,<br>с какой мы когда-либо<br>сталкивались до сих пор.<br>Интересно, стоит ли враг за<br>этим? У меня плохое<br>предчувствие... Пожалуйста,<br>будьте осторожны!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
