Title#0,"""Облачный парк Акума-лэнда"""
Explanation#0,"""全アークスに告ぐ。私はアークマである。<br>貴君らが楽しめる訓練を用意した。<br>内容は簡単。定められた時間内に<br>多くの敵を倒しハイスコアを記録せよ。<br>なお道中のエマージェンシートライアルは<br>スコアを稼ぐには欠かせないものである。<br>各員、積極的な挑戦を推奨する。<br>――――――――――――――――――――<br>ルーム内のスコア共有<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""Победите врагов и заработайте очки!"""
NpcComMsg1#0,"""参集に感謝する。<br>これより、エネミーの撃破数による<br>スコアアタックに挑戦されたし。"""
NpcComMsg2#0,"""なお、クエストの途中で発生する<br>エマージェンシートライアルには<br>トライアルオーダーを設定している。"""
NpcComMsg3#0,"""達成により「スコア上昇倍率」が向上。<br>高得点が期待されるため、各員積極的に<br>挑戦されたし。以上。"""
Area0S#0,"""1-ая область Парящего континента"""
Area0L#0,"""Планета Амдуския - 1-ая область Парящего континента"""
Area1S#0,"""2-ая область Парящего континента"""
Area1L#0,"""Планета Амдуския - 2-ая область Парящего континента"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NPC_QUEST_START#0,"""Квест начался. Побеждайте врагов с целью<br>заработать как можно больше очков."""
NPC_TIME_HALF#0,"""Обратите внимание: Осталась половина времени.<br>Попробуйте выполнить заказы<br>испытания, чтобы заработать как можно больше очков."""
NPC_TIME_1MIN#0,"""Обратите внимание: Осталась одна минута.<br>Пока время не истекло, продолжайте усердно работать."""
LINE_QUEST_START#0,"""Победите врагов и заработайте очки!"""
LINE_TIME_1MIN#0,"""Осталась 1 минута!"""
