Title#0,"""T: Манящие леса"""
Explanation#0,"""異世界オメガ、クエントとヴェルンの<br>国境付近に突如、大きな森が出現しました。<br>森の出現に巻き込まれた人々を助けるため<br>ハリエットさんが森に向かったようです！<br>ダークファルスに似た反応もあり危険です！<br>ハリエットさんの救出に向かってください！<br>――――――――――――――――――――<br>クエスト中/HP回復の妨害有り<br>失敗条件/任務の失敗、制限時間の経過<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000全員累計9回の戦闘不能"""
SimpleExplanation#0,"""Спасите Гарриету!"""
NpcComMsg1#0,"""Мы начнём телепортацию<br>в близжайшее время.<br>Цель этой миссии - спасти<br>Гарриету, которая забрела<br>в этот лес."""
NpcComMsg2#0,"""Мы обнаружили энергетические<br>паттерны, похожие на Дарк<br>Фальцев, поэтому мы ожидаем<br>присутствие мощных даркеров."""
NpcComMsg3#0,"""Этот лес очень жуткий и<br>загадочный.<br>Есть много мест, в которых враги<br>могут устроить вам засаду,<br>так что будьте осторожны!"""
Area1S#0,"""Заброшенный замок - Зачарованный лес"""
Area1L#0,"""Заброшенный замок - Зачарованный лес"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
TargetExplanation#0,"""Цель квеста [Спасите Гарриету!]<br><br><c f0df60>Квест провалится, если в общей сумме<br>игроки<c ff2020>9 раз выбьются из сил<c f0df60><br>во время квеста.<c>"""
