name_7406#0,"""Slain"""
ssn_015810_0001#0,"""เธอคือ Meteorn หน้าใหม่ที่เขาพูดถึงกันสินะ?"""
ssn_015810_0002#0,"""รู้อยู่แล้วล่ะว่าจะมาที่นี่ ฉันมองเห็นทุกอย่างที่เกิดขึ้นนั่นแหละ"""
ssn_015810_0003#0,"""แต่มันยังเร็วไปหน่อยที่เราจะเจอกันนะ ไว้ชินกับอะไรๆ แถวนี้แล้วค่อยมาหาใหม่ก็แล้วกัน"""
ssn_015810_0101#0,"""รออยู่เลยล่ะ"""
ssn_015810_0102#0,"""ชื่อของฉันคือ Slain ผู้ฝึกสอน Gunslash ของ ARKS คนแถวนี้เรียกฉันว่า Bulletspeed Bladestorm น่ะ"""
ssn_015810_0103#0,"""และที่เธอมาที่นี่ก็เพราะ... อ้อ ใช่... จิตวิญญาณของเรามันดึงดูดกันสินะ"""
ssn_015810_0104#0,"""สัมผัสได้เลยล่ะ จิตวิญญาณของเธอกำลังเรียกร้องหาพลังของ Slayer อย่างบ้าคลั่งเลยล่ะ"""
ssn_015810_0105#0,"""ฉันนำทางให้เธอไปในเส้นทางนั้นได้นะ แน่นอนว่าต้องผ่านการฝึกฝนอย่างหนักด้วย"""
ssn_015810_0106#0,"""จะยอมรับคำแนะนำของฉันไหมล่ะ?"""
ssn_015810_0201#0,"""จะสลักคำสอนของฉัน เข้าไปในจิตวิญญาณอย่างลึกซึ้งไหมล่ะ...?"""
ssn_015810_0202#0,"""มั่นใจเลยว่าเรื่องแค่นี้จิ๊บจ๊อยสำหรับเธอ อย่าทำให้ผิดหวังล่ะ"""
ssn_015810_0301#0,"""เข้าใจล่ะ... จิตวิญญาณของเธอยังคงลังเลอยู่สินะ"""
ssn_015810_0302#0,"""ฉันจะรอเสมอ แวะมาหาใหม่ตอนที่สัมผัสได้ถึงเสียงสะท้อนของจิตวิญญาณก็แล้วกันนะ"""
ssn_015810_0401#0,"""สักวันหนึ่งเธออาจจะเร็วกว่าฉันก็ได้นะ จะรอคอยวันนั้นล่ะ"""
ssn_015810_0402#0,"""ซื่อสัตย์ต่อหัวใจตัวเองและขัดเกลาจิตวิญญาณต่อไปเถอะ"""
