name_7707#0,"""Marlin"""
ssn_014334_0001#0,"""I've heard it from Lynce, you're here to deliver the Tames Meat?"""
ssn_014334_0101#0,"""Hand over the 10 pieces of Sharp Retem Meat"""
ssn_014334_0102#0,"""Return"""
ssn_014334_0201#0,"""Got it, thanks."""
ssn_014334_0202#0,"""Hmm, I don't think this will be enough, could I bother you to get some more?"""
ssn_014334_0203#0,"""Hmm... Meat this time, alright."""
ssn_014334_0301#0,"""Sorry for the all the work I've given you, but now I finally can make some good food."""
ssn_014334_0302#0,"""I guess I better get to work."""
ssn_014334_0401#0,"""Sorry for the all the work I've given you, but now I finally can make some good food."""
ssn_014334_0402#0,"""I guess I better get to work."""
ssn_014334_0501#0,"""Are you alright? Don't you think you should take a break?"""
ssn_014334_0502#0,"""If you're hungry, I can make you something really delicious."""
