Title#0,"""Просьбы пятерняшек"""
Summary#0,"""Мери попросила <%me><br>доставить коробку с перекусом Илме<br>в исследовательском центре на пути<br>к Утраченному Централу."""
text0101#0,"""Доставить перекус Илме"""
text0102#0,"""Отправиться к устройству<br>рюкера в лесу Мистра"""
text0103#0,"""Найти Тури возде реки в лесу Мистра"""
text0111#0,"""Доставить орружие Тури"""
text0104#0,"""Доставить мех Куке"""
text0105#0,"""Отправиться к устройству рюкера<br>в снежной равнине Дананг"""
text0106#0,"""Найти Тайваса возле каменной стены<br>в снежной равнине Дананг"""
text0112#0,"""Отдать зимнюю одежду Тайвасу"""
text0107#0,"""Доставить подарок Мери"""
Dummy#0,"""<space>"""
Objective310#0,"""<space>"""
