Kuro_favs_before_010#0,"""오!<br><%me><br>마침 잘 왔다먀!"""
11_voice_NPC_5069_100#0,"""자, 이걸 주겠다먀."""
11_voice_NPC_5069_101#0,"""이 몸은 통이 크다먀!<br>소중히 써 달라먀!"""
Kuro_favs_after_020#0,"""그럼, 또 보자먀아."""
Kuro_favs_present_010#0,"""쿠로가 『신시사이저』를 줬습니다."""
Kuro_favs_present_020#0,"""쿠로가 『디바인 런처』를 줬습니다."""
Kuro_favs_present_030#0,"""쿠로가 『제로 디스턴스』를 줬습니다."""
Kuro_favs_present_040#0,"""쿠로가 『신시사이저』를 줬습니다."""
Kuro_favs_present_050#0,"""쿠로가 『로데오 드라이브』를 줬습니다."""
Kuro_favs_present_060#0,"""쿠로가 『제로 디스턴스』를 줬습니다."""
Kuro_favs_present_070#0,"""쿠로가 『신시사이저』를 줬습니다."""
Kuro_favs_present_080#0,"""쿠로가 『크레이지 스매쉬』를 줬습니다."""
Kuro_favs_present_090#0,"""쿠로가 『페이크 실루엣』을 줬습니다."""
Kuro_favs_present_100#0,"""쿠로가 『진화 디바이스／쿠로』를 줬습니다."""
Kuro_favs_present_add_001#0,"""쿠로가 『<%skit_text>』를 줬습니다."""
Kuro_01_010#0,"""안녕!\u3000이 몸은 쿠로다먀."""
11_voice_NPC_5069_100#1,"""토로와 함께<br>이 세계에 온<br>쿨한 고양이다먀."""
Kuro_01_030#0,"""사실 이 몸은<br>도와줬으면 하는 일이<br>있다먀!"""
Kuro_01_040#0,"""괜찮다면<br>이야기를 들어 달라먀."""
Kuro_02_010#0,"""여기는<br>귀여운 여자애가 가득해서<br>천국이다먀!"""
11_voice_NPC_5069_101#1,"""이 몸도 언젠가는 꼭<br>인기 만점이 되고 말겠다먀아!"""
