name01#0,"""Astarte"""
11_voice_shop_411#0,"""<%me>.<br>My apologies for contacting you out of the blue."""
text02#0,"""It's nice to meet you.<br>My name is Astarte.<br>I am a basic instruction officer for ARKS."""
text03#0,"""Pleased to make your acquaintance."""
text05#0,"""There is a tutorial program made just for people like you... it's called the ARKS Road."""
text06#0,"""This program is highly recommended for people who are not yet used to ARKS activities."""
text07#0,"""I believe it will be easier to understand once you've seen it.<br>First, please take this."""
text08#0,"""As you fill in this stamp card, you should naturally learn more about ARKS."""
text09#0,"""The first goal on this stamp card is to <c bb0000>go meet Astarte<c>.<br>In other words, come to see me."""
text10#0,"""That's all for now. See you again.<br>I look forward to working together."""
name01#1,"""Astarte"""
name02#0,"""Sierra"""
text01#0,"""Oh, that's right.<br>I forgot to ask."""
text02#1,"""To help familiarize things, how about we give you some easy coaching? I can introduce you to the one in charge."""
text03#1,"""Nice to meet you, my name is Astarte. I am a basic instruction officer for ARKS."""
text04#0,"""If my information is correct, you're a beginner who's just joined ARKS."""
text05#1,"""If my information is correct, you were in cold sleep hibernation. There's a chance that your memories are scrambled."""
text06#1,"""I would like to recommend a tutorial practice program called ARKS Road."""
text07#1,"""It teaches the various basic ARKS activities that we might do daily, and it might help you remember."""
text08#1,"""I believe it will be easier to understand once you've seen it.<br>First, please take this."""
text09#1,"""As you fill in this stamp card, you should naturally gain knowledge as ARKS."""
text10#1,"""The first stamp goal is<br><c bb0000>「Visit Astarte」<c>.<br>So please, come  to me."""
text11#0,"""それでは。<br>以後よろしくお願いします。"""
text12#0,"""「ストーリーボード」の解放条件に<br>森林探索のクリア、とあるけども<br>これはどうすればいいんだろう……？"""
text13#0,"""そんなお悩みの貴方にお勧めなのが<br>アスタルテさんの<br>「アークスロード」なんです！"""
text14#0,"""「森林探索」の解放までの道のりも<br>ばっちりガイドしてくれますからね。<br>「アークスロード」進めてみましょう！"""
