11_voice_NPC_5457_101#0,"""<%me>……！<br>また会えたね、嬉しい！"""
11_voice_NPC_5457_105#0,"""前にもお世話になったことのある……<br>あれ、なんだっけ？<br>げんそう……しゅ？\u3000のマトイだよ。"""
skit01_03#0,"""それでね、なんとなんと<br>大好きなハロウィンを一緒に楽しむ<br>とってもかわいい仲間ができたの！"""
11_voice_NPC_5457_100#0,"""ヒントは、隣のシエラちゃん！<br>でも、彼女にはヒミツがあるの……<br>詳しくは、彼女に聞いてみてね？"""
11_voice_NPC_5457_100#1,"""Heheh, Magical★Xiera seems to be giving enjoying Halloween her all."""
skit02_02#0,"""I have to work harder so that I can keep up with her. I am her Halloween senior, after all."""
11_voice_NPC_5457_103#0,"""Oh, oh no! If I don't give her sweets, she'll play a-<br>...I nearly said something I shouldn't have."""
skit03_01#0,"""あ、<%me>。<br>様子はどうかな？<br>付き合ってくれて、ありがとう！"""
11_voice_NPC_5457_100#2,"""……大好きなハロウィンを<br>大好きなあなたと、また過ごせるなんて<br>本当に夢みたい！"""
11_voice_NPC_5457_100#3,"""ふふっ……<br>マジカル★シエラちゃんとふたりで<br>お菓子談義してたの！"""
skit04_02#0,"""シエラちゃんの目指してるもの<br>あまりイメージできなかったけど……<br>すごく本気なんだと思うよ。"""
11_voice_NPC_5457_101#1,"""え、わたし……？<br>あなたからもらえるなら、なんでも……<br>く、くれなきゃ、いたずらしちゃうぞ！"""
11_voice_NPC_5457_100#4,"""今まで、わたしたちに<br>付き合ってくれてありがとう！"""
skit05_02#0,"""いつか、ハロウィンが終わって<br>わたしたちが消えちゃったとしても<br>素敵な思い出は残るかもって……"""
skit05_03#0,"""そう思えるぐらい、楽しかった！<br>また、会えるといいな……！"""
