NameF#0,"""$(0)"""
result1#0,"""アークスのみなさんにＥＰ６楽しんで<br>もらえますように！マルチプレイで<br>一緒になってもよろしくお願いします！"""
result2#0,"""『ＰＳＯ２ｅｓ』も５周年です！<br>もっと！\u3000みなさんに楽しんでもらえる<br>ように、全力投球でがんばります！！"""
result3#0,"""エピソード６も頑張ります！<br>楽しんで頂けるような曲が作れますように！"""
result4#0,"""私がP S Oと言います。続いてツーと<br>言ってください。お願いします。<br>P S O〜ツー。<br>あっ！ツーって言っちゃった！！"""
result5#0,"""近所の子供が書いた短冊です。<br>お菓子の家に住めますように。<br>野菜も食べるんだぞ～"""
result6#0,"""とりあえず今は<br>終電に間に合いますように。 """
result7#0,"""そろそろV Rで自キャラが<br>見たいんじゃ。あ、自キャラグッズ化<br>第二弾まだですか？ """
result8#0,"""今年こそトナカイが<br>グッズ化されますように"""
result9#0,"""いつか「カキーン！」<br>ボイスが実装されますように、、！"""
result10#0,"""NPCで なゆたん か たんなゆ が<br>実装されますように・・・？<br>★15が沢山ドロップしますように！"""
result11#0,"""まるぐるしたいまるぐるしたいまるぐる<br>したいまるぐるしたいまるぐるしたいま<br>るぐるしたいまるぐるしたい！！！！！"""
result12#0,"""自キャラ複数でスクショとれる<br>環境がほしい"""
result13#0,"""僕の出てる作品とコラボしますように<br>新職はナックルとブーツが使えますように<br>全てのレアアイテムよ俺に集え"""
result14#0,"""A B T決勝で喉が壊れませんようにw<br>あと【スロット数上限＋１】が<br>実装されますように（切実"""
result15#0,"""P S O T C Gが流行りますように<br>カードアークスがもっと増えて<br>エピソード2以降もなにとぞ・・・"""
result16#0,"""フランカ’ｓカフェに<br>居酒屋メニューをいれてほしい！<br>のどごしさわやかなやつも！"""
result17#0,"""スク運が上がってきわどいコスや<br>スクショ映えするロビアクが<br>いっぱい出ますように！"""
result18#0,"""私は特にないけど、強いて言うなら <br>これからもうちのおばあちゃんが、 <br>楽しいぷそにライフを送れますように。"""
result19#0,"""古より伝わりし聖魔の護符よ。前世の誓<br>約を果たすべく我が願いを書き記さん。<br>封印されし力を解放し、邪神の（以下略"""
result20#0,"""メカメカしくてかっこよくて<br>いやらしいキャストパーツが<br>たくさん出てきますように。"""
result21#0,"""なかよしさんもいっぱい増えたから<br>いつか千春ちゃんもいっしょに<br>ＰＳＯ２ができるとうれしいなあ～。"""
result22#0,"""出撃したアークスのみなさんが<br>いつも無事に帰ってきますように。<br>あと、私にうるおいとトキメキを……"""
result23#0,"""いつまでも、みんな一緒に<br>笑顔でいられますように。<br>これからも、精一杯がんばりますっ！！"""
result24#0,"""みんながケガや病気をせず<br>いつまでも一緒にいられますように。<br>特に、モアとアフタルは……"""
result25#0,"""リーダーたちアークスのヒトたちと<br>お姉ちゃんたちが仲良くなって<br>ずっと笑っていられるといいな！"""
result26#0,"""もっと強くなって、リーダーより<br>でっかいアークスになりたいってば！<br>目指すは、アークスナンバーワン！"""
result27#0,"""仕事は充実してるんで、プライベートも<br>充実できるといいなぁ……と<br>ここに書いたけど、読んでくれるかな？"""
result28#0,"""リリリーン！\u3000アークスって<br>面白いイベントがあるんだね！！<br>みんなアフタルと仲良くしておくれよ！"""
result29#0,"""お願いごと、お願いごと……<br>あの人と、みんなと、ずっと一緒に<br>この先もいられますように。"""
result30#0,"""オペレーターでも、オシャレしたい！<br>みなさんのファッション、素敵ですし。<br>やりたいこと、盛りだくさんですよー！"""
result31#0,"""いつでもどこでも、撃ち放題……<br>そんな世の中になってほしいですねえ。<br>ふふ。素敵だと思いませんかあ？"""
result32#0,"""七夕ですか……素敵な催しですね。<br>私からのお願いは、ひとつだけ……<br>みなさまに幸せが訪れますように。"""
result33#0,"""個人的な願いを書くのは恥ずかしいから<br>ここではみんなの無事を願おうかな。<br>みんなが無事に帰ってきますように！"""
result34#0,"""願いごとがありゃ、祈るより<br>自分で叶えたほうが手っ取り早い。<br>力がいるなら、アタシが鍛えてやるよ。"""
result35#0,"""ウルクの願いが叶いますように。<br>ぼくの分も、ウルクが幸せになること。<br>それが、ぼくの願いです。"""
result36#0,"""若きアークスたちに<br>希望ある未来が訪れることを願う。<br>彼らが歩む道を守らねば。"""
result37#0,"""ロビーエリアのユクちゃんのとなりに<br>アウロラちゃんが配置されますように"""
result38#0,"""PSO2STATION!の諏訪さんが<br>スムーズに番組進行できますように。"""
result39#0,"""常に笑顔でいけるように<br>明るく楽しく鮮烈に！<br>過ごせることを願っています。"""
result40#0,"""一緒にSSが撮って楽しめる<br>フレンドが沢山出来ますように！"""
result41#0,"""いつまでも<br>ぷそ生活が続けられますように～"""
result42#0,"""可愛いお洋服が<br>たくさん実装されますように"""
result43#0,"""メイド喫茶オラクル支店を開店したい！"""
result44#0,"""トナカイのトナカイによる<br>トナカイのための世界征服"""
result45#0,"""ニュマオの人口が<br>アークスで1番多くなりますように"""
result46#0,"""コスプレコンテスト優勝!!!!!"""
result47#0,"""現実世界とは言わない…！<br>PSO2の世界だけでも<br>富裕層になれますように"""
result48#0,"""リリーパ族が<br>危険な目に遭いませんように！"""
result49#0,"""これからも出会った仲間たちと<br>一緒に続けられますように"""
result50#0,"""クロトの兄貴が忘れられませんように…"""
result51#0,"""コスチュームコンテストに<br>入賞できますように！！"""
result52#0,"""今年こそ【仮面】が救出できますように"""
result53#0,"""シバ様再現アイテムが実装されたら<br>ロビーがシバ様で埋め尽くされますように"""
result54#0,"""どじっこﾅｶｰﾏ<br>もっと増えますように(´・ω・｀)"""
result55#0,"""ビオル・メデューナちゃんの<br>ぬいぐるみください！！！！！<br>なんでもしますから！！！！！"""
result56#0,"""色違いのペットを全種類手に入れる!!"""
result57#0,"""幻創種でいいので、<br>マザーの季節限定コスのパトカが<br>実装されますように"""
result58#0,"""ゲームする時間ができますように！"""
result59#0,"""人気投票でクーナの順位が<br>もっと上がりますように。"""
result60#0,"""アークスの皆様がリリーパさんを<br>吹っ飛ばしませんように！りーっ！"""
result61#0,"""アフィンがアニメで活躍して<br>グッズが出ますように！"""
result62#0,"""全クラスでフォーエバーロナー取りたい"""
result63#0,"""チャットでの誤字と誤爆が<br>減りますように！"""
result64#0,"""クーナの新しいライブが<br>見れますように！！"""
result65#0,"""この先でも色んなアークスの方と<br>交流出来ますように！"""
result66#0,"""これからもPSO2で出会った人達と<br>仲良く遊んでいけますように〜"""
result67#0,"""ぷそ煮キャラが<br>ロビーに遊びにきたらいいな♪"""
result68#0,"""嫁よ、もっとログインさせてください。<br>お願いします。"""
result69#0,"""きゅきゅーっ!!!<br>（ラッピーふえますように!）"""
result70#0,"""次回の武器迷彩コンテストに入賞し、<br>実装されたい"""
result71#0,"""エーテル・ファクターが広まりますように…！<br>エーテル教信者より"""
result72#0,"""今年もみんなで<br>楽しいPSO2ライフが送れますように。"""
result73#0,"""カスラさんが<br>ルーサーとまた会えますように"""
result74#0,"""ウィークバレットの撃ち間違いが<br>減りますように"""
result75#0,"""今年出るラッピースーツミニ全制覇"""
result76#0,"""イドラの世界から<br>広報係のポポナちゃんがPSO2の世界に<br>遊びに来てくれますように...。"""
result77#0,"""ナックルの楽しさが<br>もっと色んな人に広まりますように！<br>リミットブレイク！！"""
result1#1,"""吉岡ディレクター"""
result2#1,"""後藤ディレクター"""
result3#1,"""小林サウンドディレクター"""
result4#1,"""諏訪彩花"""
result5#1,"""那須晃行"""
result6#1,"""中西茂樹"""
result7#1,"""会一太郎"""
result8#1,"""長谷川唯"""
result9#1,"""藤本結衣"""
