name_7211#0,"""Шанди"""
ssn_019050_002_0001#0,"""Спасибо вам, что пришли.<br>Позвольте мне представиться снова."""
ssn_019050_002_0002#0,"""Меня зовут Шанди. Я изучаю различные аномальные<br>явления, происходящие на Хальфе."""
ssn_019050_002_0003#0,"""Я позвала вас, чтобы вы помогли мне разобраться<br>в происходящем на Хальфе."""
ssn_019050_002_0004#0,"""Хальфа не сильно меняется в течение года, но только<br>в это время температура воздуха снижается."""
ssn_019050_002_0005#0,"""Возможно, по этой причине некоторые<brдеревья белеют."""
ssn_019050_002_0006#0,"""Пожалуйста, помогите мне исследовать<brэту аномалию."""
ssn_019050_002_0007#0,"""Прежде всего... Дайте-ка подумать.<br>Почему бы не собрать материалы, которые<br>можно собрать только в это<br>время года?"""
ssn_019050_002_0008#0,"""Для помогающих также есть особые награды."""
ssn_019050_002_0009#0,"""Чтож, надеюсь на плодотворное сотрудничество."""
ssn_019050_002_0010#0,"""Спасибо, что пришли."""
ssn_019050_002_0011#0,"""Я хотела бы попросить вас заняться<br>исследованием и в этот раз..."""
ssn_019050_002_0012#0,"""Для помогающих также есть особые награды."""
ssn_019050_002_0013#0,"""Чтож, надеюсь на плодотворное сотрудничество."""
ssn_019050_002_0014#0,"""С возвращением.<br>Вы собрали столько ценных данных!"""
ssn_019050_002_0015#0,"""На их основе мы исследуем причину падения температуры<br>и влияние на экосистему и врагов."""
ssn_019050_002_0016#0,"""В ходе исследования кто-то из другого отдела<br>попросил помощи, и я посоветовала вас."""
ssn_019050_002_0017#0,"""Возможно этот человек скоро обратится к вам.<br>Пожалуйста, приложите все усилия, чтобы помочь."""
ssn_019050_002_0018#0,"""Искренне благодарю вас за вашу поддержку."""
ssn_019050_002_0019#0,"""Накопленные вами очки вы можете обменять на награды,<br>так что сообщите, если вам что-нибудь понадобится."""
ssn_019050_002_0020#0,"""Впредь надеюсь на плодотворное сотрудничество."""
ssn_019050_002_0021#0,"""Причина падения температуры находится<br>в стадии тщательного расследования."""
ssn_019050_002_0022#0,"""Любая предоставленная вами информация будет полезна."""
npc_menu_0001#0,"""Взяться за задачи события"""
npc_menu_0002#0,"""Обмен очков сезона"""
npc_menu_0003#0,"""О событии сезона"""
npc_menu_0004#0,"""Закрыть меню"""
npc_menu_0005#0,"""О “Событии сезона”"""
npc_menu_0006#0,"""О “Персонаже сезона”"""
npc_menu_0007#0,"""О “Ежедневных/Еженедельных задачах”"""
npc_menu_0008#0,"""О “Озорных символах”"""
npc_menu_0009#0,"""О “Собираемых материалах сезона”"""
npc_menu_0010#0,"""О “Mag'ах региона сезона”"""
npc_menu_0011#0,"""О “Врагах сезона”"""
npc_menu_0012#0,"""О “Мировом Испытании”"""
npc_menu_0013#0,"""Не о чём спрашивать"""
