msc_041020_0010#0,"""왔구나, 너희들."""
msc_041020_0020#0,"""윽…!<br>어째서 얼터 렐름에 있던 네가 여기에…!?"""
msc_041020_0030#0,"""…아니, 달라.<br>이 느낌… 그 녀석이 아니야."""
msc_041020_0040#0,"""네가 루시아구나.<br>놀라게 했다면 미안해."""
msc_041020_0050#0,"""나는 크로포드야. 너희가 얼터 렐름에서 본 \""나\""가 아니야.<br>진짜 센트럴 시티의 리더지."""
msc_041020_0060#0,"""우선 지난 임무에 대해 너희에게 감사하고 싶어.<br>위험한 임무였는데도 무사히 돌아와 줬으니까."""
msc_041020_0070#0,"""하지만 조사대원들은… 구하지 못했어…."""
msc_041020_0080#0,"""그 일은 내 판단이 안일했어. 얼터 렐름의 특이성을<br>충분히 파악하기 전에 그들을 그곳으로 보냈으니까. 내 책임이야."""
msc_041020_0090#0,"""너희의 보고서는 읽어 봤어.<br>조사대를 습격한 것은 그들의 모습을 모방한 스타레스였고, 그리고…."""
msc_041020_0100#0,"""…그중에 \""내 모습을 한 자\""가 있었다는 것도 말이야."""
msc_041020_0110#0,"""솔직히 말하면… 그 보고를 들은 순간<br>강한 공포와 혐오감을 느꼈어."""
msc_041020_0120#0,"""정말 똑같이 생겼어."""
msc_041020_0130#0,"""진짜와는 조금 달랐어."""
msc_041020_0140#0,"""그런가… 네가 봐도<br>그 정도로 구분하기 어려웠구나."""
msc_041020_0150#0,"""그렇군. 가까운 사람이라면<br>조금이나마 차이를 느낄 수 있는 건가…."""
msc_041020_0160#0,"""아크스의 모습을 모방한 적….<br>그들의 목적은 대체 뭘까?"""
msc_041020_0170#0,"""일단 그들을 \""모방체\""라고 부르자. 스타레스가 모방체를 이용해<br>무엇을 하려는지는 아직 알 수 없어."""
msc_041020_0180#0,"""하지만 새로운 위협이 움직이기 시작한 건 확실해.<br>지금까지보다 더 신중하게 임해야겠지."""
msc_041020_0190#0,"""그리고… 하나 더. 오늘 너희에게 알려 둘 것이 있어.<br>루시아에 관한 일이야."""
msc_041020_0200#0,"""나에 관한 일?"""
msc_041020_0210#0,"""그래. 여기서부터는 파리아가 설명해 줘.<br>부탁해도 될까?"""
msc_041020_0220#0,"""네, 알겠습니다."""
msc_041020_0230#0,"""여러분이 얼터 렐름 임무에서 귀환한 뒤<br>루시아에 관해 조사했습니다."""
msc_041020_0240#0,"""…데이터 대조 대상 루시아. 모든 아크스와<br>센트럴 시티 주민, 루시엘란의 생체 데이터와 비교했습니다."""
msc_041020_0250#0,"""결과는… 해당자 없음. 어느 데이터베이스에도<br>루시아와 동일하다고 여겨지는 생체 데이터는 존재하지 않았습니다."""
msc_041020_0260#0,"""존재하지… 않는다고?"""
msc_041020_0270#0,"""네.<br>루시아, 당신은 \""어디에도 존재하지 않는 인물\""이라는 뜻입니다."""
msc_041020_0280#0,"""그럴 수가…!"""
msc_041020_0290#0,"""…네가 얼터 렐름에서 그들을 도왔다는 건 알고 있고<br>물론 그 일에는 감사하고 있어."""
msc_041020_0300#0,"""하지만 네가 누구인지 지금 단계에서는 아무것도 밝혀지지 않았어.<br>조직으로서 그런 존재가 무조건 자유롭게 행동하게 둘 수는 없어."""
msc_041020_0310#0,"""그러니 당분간은<br><%me> 일행과 항상 함께 행동해 줘야겠어."""
msc_041020_0320#0,"""…그건 나를 감시하겠다는 뜻이야?"""
msc_041020_0330#0,"""그렇게 받아들여도 괜찮아.<br>아크스라는 집단의 안전을 지키기 위해 필요한 일이야."""
msc_041020_0340#0,"""언젠가 네 정체가 밝혀진다면 이 판단도 달라질 수 있어.<br>그러니… 지금은 냉정하게 이 조치를 받아들여 줬으면 해."""
msc_041020_0350#0,"""…뭐야, 그게.<br>마치 내가 적이라는 말 같잖아."""
msc_041020_0360#0,"""나는 기억해 내야 해.<br>내가 누구였는지… 무엇을 해야 했는지…!"""
msc_041020_0370#0,"""계속 아무것도 모르는 채 여기 멈춰 서 있는 건<br>도저히… 견딜 수 없어!"""
msc_041020_0380#0,"""루시아!"""
msc_041020_0390#0,"""쫓아가자!"""
msc_041020_0400#0,"""미안해. 그녀를 부탁할게.<br>너희가 하는 말이라면 분명 귀를 기울일 거야."""
