msc_041190_0010#0,"""다들 와 줬구나."""
msc_041190_0020#0,"""마침 이르마와 통신이 연결되어 있습니다.<br>이쪽으로 오시죠."""
msc_041190_0030#0,"""다들 오랜만이야.<br>갑자기 연락해서 미안해. 그래도 꼭 모두에게 해 둘 이야기가 있어서."""
msc_041190_0040#0,"""우선 이걸 봐 줘.<br>얼마 전 에어리오와 크바리스 사이의 해역에서 촬영한 영상이야."""
msc_041190_0050#0,"""뭐야, 이거…? 마치 바다가 뻥 뚫린 것 같아."""
msc_041190_0060#0,"""단순한 해저 함몰은 아닌 것 같아.<br>주변의 것을 빨아들이고 있어…?"""
msc_041190_0070#0,"""맞아.<br>이 구멍은 주변 물질을 분해해서 흡수하고 있어."""
msc_041190_0080#0,"""처음에는 지각 변동의 일종이라고 생각했어.<br>하지만 현지에서 조사해 보니 비정상적인 에너지 반응이 감지됐지."""
msc_041190_0090#0,"""게다가… 전에 얼터 렐름에서 관측된 것과<br>같은 종류의 에너지였어."""
msc_041190_0100#0,"""루시아? 무슨 일이야?"""
msc_041190_0110#0,"""…모르겠어.<br>하지만 이걸 보고 있으면… 가슴이 술렁거려."""
msc_041190_0120#0,"""이걸 알고 있는 것 같기도 하고…<br>기억해 내고 싶지 않은 것 같기도 한… 그런 느낌이야."""
msc_041190_0130#0,"""알고 있다니… 루시아가?"""
msc_041190_0140#0,"""미안해… 확실히 기억나는 건 아니야.<br>그저 굉장히 불길한 느낌이 들어."""
msc_041190_0150#0,"""아무튼 이 구멍은… \""어브덕션 홀\""이라고 부를까.<br>지금도 주변의 바닷물과 대기를 계속 빨아들이고 있어."""
msc_041190_0160#0,"""내버려 두면 할파 전체에 영향을 미칠 수도 있어.<br>서둘러 대책을 세워야 해."""
msc_041190_0170#0,"""하지만 저런 걸 어떻게 멈추지?"""
msc_041190_0180#0,"""얼터 렐름에서 관측된 에너지와 거의 같은 종류라면<br>어브덕션 홀에 스타레스가 관여했을 가능성이 높아."""
msc_041190_0190#0,"""출현 시기도 얼터 렐름이 나타난 때와 일치해. 그렇다면<br>대처할 단서는 그 영역에 있다고 봐도 되겠지."""
msc_041190_0200#0,"""절반은 정답이야.<br>역시 나의 \""오리지널\""이군."""
msc_041190_0210#0,"""그때 그 가짜…!"""
msc_041190_0220#0,"""어떻게 여기에 들어왔지?"""
msc_041190_0230#0,"""이런, 꽤 거친 환영이군."""
msc_041190_0240#0,"""모르는 건가?<br>우리에게는 공간의 장벽 따위 아무 의미도 없어."""
msc_041190_0250#0,"""또 만났군, 가디언.<br>그렇게 경계하지 마. 오늘은 그저 구경하러 왔을 뿐이니까."""
msc_041190_0260#0,"""…네가 <%me> 일행이<br>얼터 렐름에서 조우했다는 스타레스군."""
msc_041190_0270#0,"""스타레스라. 너희는 그렇게 부르고 있었지.<br>…뭐, 너희에게 맞춰 그렇게 자칭해 주도록 할까."""
msc_041190_0280#0,"""자, 궁금하지 않나? 저 구멍의 정체.<br>이 할파에 무슨 일이 벌어지려 하는지를 말이야."""
msc_041190_0290#0,"""윽… 뭘 알고 있는 거야?"""
msc_041190_0300#0,"""가엾은 너희에게 힌트를 주지.<br>저기 있는 \""나\""의 추측대로 답은 그 영역, 얼터 렐름에 있어."""
msc_041190_0310#0,"""우리 \""삼영걸\""이 지키는 3개의 탑에 말이지."""
msc_041190_0320#0,"""삼영걸…."""
msc_041190_0330#0,"""3개의 탑…?"""
msc_041190_0340#0,"""그곳에 오면 알려 주지.<br>저 구멍의 비밀을 말이야."""
msc_041190_0350#0,"""…왜 그걸 굳이 우리에게 알려 주는 거지?"""
msc_041190_0360#0,"""승패가 뻔한 놀이만큼 재미없는 것도 없잖아?<br>조금 핸디캡을 주는 거지."""
msc_041190_0370#0,"""상당히 말이 많군.<br>삼영걸이라는 이름을 지닌 자의 여유인가?"""
msc_041190_0380#0,"""…그래, 그런 식으로 나오는군. 좋은 작전이야, 오리지널."""
msc_041190_0390#0,"""하지만 아쉽게 됐어. 거기까지는 알려 주지 않아.<br>왜냐하면 너는 이렇게 생각하고 있겠지?"""
msc_041190_0400#0,"""내게서 조금이라도 더 많은 정보를 끌어낸 뒤<br>이곳의 총력을 쏟아부어 나를 해치우고 싶다고 말이야."""
msc_041190_0410#0,"""하지만 그건 위험한 도박이야. 여기서 싸우면 이 도시와<br>그곳에 잠들어 있는 여자들이 어떻게 될지… 너라면 알겠지?"""
msc_041190_0420#0,"""비겁해."""
msc_041190_0430#0,"""무슨 짓을 한 거지?"""
msc_041190_0440#0,"""그게 뭐가 나쁘지?<br>그런 시시한 것에 얽매여 있으니 너희는 약한 거야."""
msc_041190_0450#0,"""잠깐 잠들게 했을 뿐이야.<br>걱정 마. 곧 눈을 뜰 테니까."""
msc_041190_0460#0,"""큭…."""
msc_041190_0470#0,"""후후… 하하하, 그렇게 노려보지 마, 사령관님.<br>지켜야 할 것이 많으면 힘들지?"""
msc_041190_0480#0,"""그럼 이번에는 이쯤에서 실례하지.<br>너희가 올 때를 기대하고 있겠어."""
msc_041190_0490#0,"""…아, 맞다. 거기에 어울리지 않는 \""미아\""가 있지?<br>그 여자도 잊지 말고 데려와."""
msc_041190_0500#0,"""이 놀이에는 그 여자도 필요하거든.<br>그럼 또 보자."""
msc_041190_0510#0,"""공간을 넘어갔어…."""
msc_041190_0520#0,"""…승부는 아직 끝나지 않았어.<br>단서는 충분히 손에 넣었으니까."""
name01#0,"""？？？"""
