msc_041210_0010#0,"""저게 어브덕션 홀…."""
msc_041210_0020#0,"""정말 주변의 모든 것을 빨아들이고 있네.<br>기이한 광경이야."""
msc_041210_0030#0,"""…저걸 보고 있으면 가슴이 술렁거려."""
msc_041210_0040#0,"""이유는 모르겠어.<br>…하지만 역시 나는 저걸 알고 있는 것 같아."""
msc_041210_0050#0,"""지령실에 나타난 그 녀석. 나를 \""미아\""라고 불렀어.<br>마치 나를 예전부터 알고 있었던 것처럼."""
msc_041210_0060#0,"""나는 대체 뭘까.<br>계속 알고 싶다고 생각했는데… 지금은… 조금 무서워."""
msc_041210_0070#0,"""루시아…."""
msc_041210_0080#0,"""나는 지금까지 기억을 되찾는 것만이<br>나에게 가장 중요하다고 생각했어."""
msc_041210_0090#0,"""하지만 너희와 함께 각지를 돌아다니고<br>사람들과 이야기하고 도시의 분위기를 느끼면서… 그것만이 아니라고 생각했어."""
msc_041210_0100#0,"""만약 저 구멍이 더 커져서 할파를 삼켜 버리면…."""
msc_041210_0110#0,"""나데레프 일행이 사는 도시도, 메리의 가족이 돌아갈 곳도<br>그렌 일행이 해 준 말도 분명 전부 사라지고 말 거야."""
msc_041210_0120#0,"""…난 그런 건 싫어."""
msc_041210_0130#0,"""함께 지키자."""
msc_041210_0140#0,"""고마워."""
msc_041210_0150#0,"""함께… 그래."""
msc_041210_0160#0,"""뭐, 뭐야. 감사 인사 같은 건 안 해도…!<br>…아니, 그게 아니야. 내가 하고 싶은 말은…."""
msc_041210_0170#0,"""아직 나도 잘 모르겠어.<br>무엇이 중요한지, 내가 무엇을 지키고 싶은지."""
msc_041210_0180#0,"""그래도 나는… 너희에게 힘을 빌려주고 싶어."""
msc_041210_0190#0,"""루시아… 그걸로 충분해. 고마워."""
msc_041210_0200#0,"""자, 가자!<br>얼터 렐름으로 들어가는 입구는 바로 앞이야."""
