name_7707#0,"""Маарин"""
ssn_014334_0001#0,"""Линче меня уведомила, что ты придёшь<br>доставить мясо теймзов."""
ssn_014334_0101#0,"""Отдать 10 шакки мясо теймзов"""
ssn_014334_0102#0,"""Не отдавать"""
ssn_014334_0201#0,"""Спасибо. Будь уверен(а), оно пойдёт в дело."""
ssn_014334_0202#0,"""А, этого может не хватить... Извини,<br>но не мог(ла) бы ты добыть ещё немного?"""
ssn_014334_0203#0,"""А... хорошо. Я подожду."""
ssn_014334_0301#0,"""Нет, правда, ты хорошо постарался(ась).<br>Думаю, с этим я смогу приготовить<br>нежное блюдо."""
ssn_014334_0302#0,"""Ладно, надо б приступить к работе."""
ssn_014334_0401#0,"""Нет, правда, ты хорошо постарался(ась).<br>Думаю, с этим я смогу приготовить<br>нежное блюдо."""
ssn_014334_0402#0,"""Ладно, надо б приступить к работе."""
ssn_014334_0501#0,"""Ты в порядке? Наверное устал(а)."""
ssn_014334_0502#0,"""Если ты голоден(на), я приготовлю<br>что-нибудь вкусненькое."""
