Title#0,"""MISSION : 결단"""
Explanation#0,"""단아크스 훈련용 프로그램 제 2탄입니다.<br>무대는 동토, 지하 갱도, 부유 대륙이며<br>지원 물자와 챌린지 마일 중 뭘 고를지<br>선택하여 클리어를 목표로 합시다.<br><br>초기 장비와 소지품은 일체 없으며 모든 것이<br>현지조달 뿐입니다. 주의하세요.<br>――――――――――――――――――――<br>목표/5가지 미션 클리어<br>※미션 6 이후는 없습니다."""
SimpleExplanation#0,"""5가지 미션을 클리어하라!"""
Area0S#0,"""미션 1"""
Area0L#0,"""아크스 쉽 VR 공간 (동토) 미션 1"""
Area1S#0,"""미션 2"""
Area1L#0,"""아크스 쉽 VR 공간 (지하 갱도) 미션 2"""
Area2S#0,"""미션 3"""
Area2L#0,"""아크스 쉽 VR 공간 (부유 대륙) 미션 3"""
Area3S#0,"""미션 4"""
Area3L#0,"""아크스 쉽 VR 공간 (동토) 미션 4"""
Area4S#0,"""미션 5"""
Area4L#0,"""아크스 쉽 VR 공간 (괴세 구역 지하 갱도) 미션 5"""
Area21S#0,"""인터벌 에어리어 1"""
Area21L#0,"""아크스 쉽 VR 공간 (부유 대륙) 인터벌 에어리어 1"""
Area23S#0,"""인터벌 에어리어 2"""
Area23L#0,"""아크스 쉽 VR 공간 (지하 갱도) 인터벌 에어리어 2"""
NpcComMsg1#0,"""잠시 후 챌린지를 시작합니다.<br>VR 에너지가 소멸될 때까지 5가지<br>미션을 클리어해 주세요."""
NpcComMsg2#0,"""각종 휴대품도 현지조달 뿐입니다.<br>혹독한 훈련이지만 임기응변으로<br>대처해 주세요. 건투를 빕니다."""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 미션 1입니다.<br>우선은 컨테이너에서 아이템을 회수해<br>에너미를 격파합시다.."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 미션 2에서는 일정한 간격으로 어둠이 발생<br>합니다. 스파이크 플로우의 움직임과<br>어둠에는 법칙이 있는 것 같네요."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 미션 4입니다. 이 에어리어에서<br>에너지 캡슐을 구할 수 있는 장소는<br>D-2와 A-2밖에 없습니다. """
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 미션 5입니다.<br>이것이 마지막 미션입니다.<br>한계꽈지 쥐어짜냅시다."""
