un_020440_0010#0,"""……후우."""
un_020440_0020#0,"""……아, 미안해.<br>생각을 좀 하고 있었어…………"""
un_020440_0030#0,"""……저기, 좀<br>물어보고 싶은게 있는데<br>괜찮을까?<br>쓸데없는 이야기일지도<br>모르겠지만."""
un_020440_0040#0,"""……임무라면<br>남녀 둘이서 파티를 해도<br>이상하지 않은 거겠지?"""
un_020440_0050#0,"""……그럼, 그……<br>팔짱을 낀다거나 그런 것은?"""
un_020440_0060#0,"""……임무라기보다는<br>함께……놀고 있는 것 같아서<br>……어찌하면 좋을지, 하고."""
un_020440_0070#0,"""……따, 딱히 누구의 이야기도 아니야<br>아주, 살짝 신경 쓰여서 말이야<br>단지 그것뿐이니까."""
un_020440_0080#0,"""……다만, 잘은 모르겠지만<br>굉장히 답답하고……<br>초조해서……"""
un_020440_0090#0,"""……미안해.<br>이런 애매한 이야기를 해도<br>곤란하게 만들 뿐이겠지."""
un_020440_0100#0,"""……지금 이야기는 잊어줘.<br>내가 신경 쓰지 않으면 그걸로 끝."""
un_020440_0110#0,"""……그래.<br>내가 굳이 신경 쓸 필요 없어.<br>그럴 필요는……없을 텐데……"""
