un_020430_0010#0,"""어라, 안녕.<br>누군가 했더니만 당신이구나."""
un_020430_0020#0,"""으음, 또 하나의 낌새를<br>느낀 것 같았는데.<br>뭐, 됐나."""
un_020430_0030#0,"""느긋하게 쉬고 싶었지만<br>아쉽네, 오늘은 선약이 있어서 말이지."""
un_020430_0040#0,"""어이, 아자나미<br>멋대로 먼저 가지 말라고<br>이야기했을 텐데."""
un_020430_0050#0,"""읏……！ 너, 너는……<br>이런 곳에서 만나다니, 뜻밖이구나."""
un_020430_0060#0,"""나, 나는 이 녀석의 부탁을 받고<br>파티를 하고있을 뿐이다."""
un_020430_0070#0,"""그런 이유로 데이트야."""
un_020430_0080#0,"""절대로 아니야!"""
un_020430_0090#0,"""……으음, 그렇게까지<br>전력으로 부정하면<br>그건 그것대로 상처받을지도."""
un_020430_0100#0,"""됐으니까, 임무나 계속하자고!"""
un_020430_0110#0,"""네에, 네에 알겠습니다. 선배<br>그럼, 또 보자."""
un_020430_0120#0,"""너도, 착각하지 말아줘.<br>그런 일 아니니까.<br>잘 알아둬!"""
