Title#0,"""คำขอ 5 ครั้ง"""
Summary#0,"""Meri ขอให้ <%me> ไปยังศูนย์วิจัย<br>ภายในอุโมงค์ใน Lost Central เพื่อ<br>ส่งอาหารกลางวันให้ Ilma"""
text0101#0,"""มอบมื้อกลางวันให้กับ Ilma"""
text0102#0,"""เดินทางไปยัง Ryuker Device ใน Mistra Forest"""
text0103#0,"""ตามหา Tulli บริเวณแม่น้ำใน Mistra Forest"""
text0111#0,"""มอบอาวุธให้กับ Tulli"""
text0104#0,"""มอบหนังสัตว์ให้กับ Kukka"""
text0105#0,"""เดินทางไปยัง Ryuker Device<br>ใน Danan Snowfields"""
text0106#0,"""ตามหา Taivas บริเวณกำแพงหิน<br>ใน Danan Snowfields"""
text0112#0,"""มอบชุดเสื้อผ้าให้กับ Taivas"""
text0107#0,"""มอบของขวัญให้กับ Meri"""
Dummy#0,"""<space>"""
Objective310#0,"""<space>"""
