TrialName_1Enemy#0,"""ปราบปราม $(0)"""
TrialBeginMsg_1Enemy#0,"""กำจัด $(0)!"""
TrialAbstract_1Enemy#0,"""กำจัด $(0)"""
TrialName_Multi#0,"""ปราบศัตรู"""
TrialBeginMsg_Multi#0,"""กำจัดศัตรูที่ปรากฏตัวขึ้นมา!"""
TrialAbstract_Multi#0,"""กำจัดศัตรู!"""
NpcComGod2RanBossAppear01#0,"""มีสัญญาณพลังงานระดับสูงมาจากอวกาศค่ะ มีบางอย่างที่ใหญ่มากๆ กำลังมุ่งหน้ามาค่ะ!"""
NpcComGod2RanBossAppear02#0,"""มันคือ Dark Falz ค่ะ..."""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ...ทุกคนคะ... ได้โปรด!?\u3000...ตอบด้วยค่ะ!\u3000...แล้ว... ไปที่...!"""
NpcComGod2RanLaterHalf01#0,"""กู้คืนระบบสื่อสารแล้วค่ะ!<br>กำลังตรวจสอบสัญญาณชีพของมัน ตอนนี้เราสามารถเฝ้าติดตามสถานการณ์ได้แล้วค่ะ"""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 ดูเหมือนว่ามันจะอ่อนแอลงกว่าตอนที่ปรากฏตัวนะคะ... ทุกคนคะ โจมตี Dark Falz ต่อไปเลยค่ะ!"""
NpcComGod2RanBrokenAllParts01#0,"""Dark Falz อ่อนแรงลงแล้วค่ะ ลุยต่อไปเลย!"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 เตรียมพร้อมยิงเซ็นทรัลแคนนอน (Central Cannon) เข้าสู่ขั้นตอนสุดท้ายของการยิงแล้วค่ะ<br>อดทนไว้อีกนิดเดียวนะคะ!"""
NpcComGod2ManonAndAina02#0,"""ดูเหมือนพวกเราจะมาถึงคนละที่กันนะ"""
NpcComGod2ManonAndAina01#0,"""พวกเธออยู่ไหนกันน่ะ?"""
NpcComGod2ManonAndAina03#0,"""เดี๋ยวจะส่งตำแหน่งของที่นี่ไปให้ แล้วค่อยไปรวมตัวกันนะ..."""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 ต้องใช้เวลาอีกสักพักก่อนที่เราจะสามารถยิงแคนนอนได้ ช่วยถ่วงเวลาไว้ให้หน่อยนะ..."""
