ssc_502050_0010#0,"""อ้าว เธอเองก็อยู่ที่นี่ด้วยเหรอ <%me>?"""
ssc_502050_0020#0,"""กำลังทำอะไรอยู่งั้นเหรอ มาน่อน?"""
ssc_502050_0030#0,"""กำลังมองหาอะไรอยู่เหรอ?"""
ssc_502050_0040#0,"""กำลังสำรวจ<br>พวกศัตรูในป่าเรซอล (Resol Forest) อยู่น่ะ"""
ssc_502050_0050#0,"""เปล่าหรอก แค่กำลังศึกษาเกี่ยวกับ<br>พวกศัตรูในป่าเรซอล (Resol Forest) อยู่น่ะ"""
ssc_502050_0060#0,"""โดยเฉพาะเรื่องที่ว่า<br>พวก DOLLS ที่นี่จัดการกันเองยังไงน่ะ"""
ssc_502050_0070#0,"""เมื่อมองเผินๆ พวก DOLLS ดูเหมือนจะ<br>เคลื่อนไหวแบบไร้ระเบียบแบบแผนส่วนใหญ่ก็เถอะ..."""
ssc_502050_0080#0,"""แต่บางครั้งพวกมันก็ดูเหมือนจะเคลื่อนไหวพร้อมๆ กันเป็นกลุ่ม<br>ราวกับมีจิตสำนึกร่วมอะไรสักอย่างคอยสั่งการอยู่น่ะ"""
ssc_502050_0090#0,"""พอจะรู้ไหมว่ากำลังพูดถึงอะไรอยู่?<br>DOLLS ประเภทที่ถูกเรียกว่าผู้คุม (Overseer) ยังไงล่ะ"""
ssc_502050_0100#0,"""ตัวอย่างที่เห็นได้ชัดเจนที่สุด<br>ก็คือพวกเปดัสเวร่า (Pedas Vera) น่ะ"""
ssc_502050_0110#0,"""DOLLS ประเภทผู้คุม (Overseer) ควบคุม<br>พฤติกรรมของ DOLLS ตัวอื่นๆ แบบตรงไปตรงมาเลยล่ะ"""
ssc_502050_0120#0,"""พูดอีกอย่างก็คือ<br>ทำหน้าที่เหมือนผู้บัญชาการของพวก DOLLS นั่นแหละ"""
ssc_502050_0130#0,"""เน็กซ์เอลิโอ (Nex Aelio) ที่ปรากฏตัวขึ้นที่ป่าเรซอล (Resol Forest) แห่งนี้<br>ก็เป็นหนึ่งในพวกที่แข็งแกร่งเป็นพิเศษในหมู่พวกมันเลยล่ะ"""
ssc_502050_0140#0,"""ในฐานข้อมูล มันถูกจัด<br>อยู่ในกลุ่มผู้คุมสมรภูมิ (Battlefield Overseer) น่ะ"""
ssc_502050_0150#0,"""ในวันที่พวกเราขาดการติดต่อกับบรูเดอร์ (Bruder)<br>เน็กซ์เอลิโอ (Nex Aelio) ได้ออกคำสั่งให้พวก DOLLS ทั่วทั้งเอลิโอ (Aelio) เลยล่ะ"""
ssc_502050_0160#0,"""พวก DOLLS ที่ได้รับคำสั่งเหล่านั้น ก็หันหน้า<br>เข้าหาเซ็นทรัลซิตี้ (Central City) แล้วก็เริ่มเดินขบวนมุ่งหน้าไปที่นั่นน่ะ"""
ssc_502050_0170#0,"""ถ้าหากว่าศูนย์บัญชาการชั่วคราวอย่างเน็กซ์เอลิโอ (Nex Aelio) ไม่ถูก<br>จัดการไปล่ะก็ วันนั้นคงเป็นวันที่เลวร้ายสำหรับเซ็นทรัลซิตี้ (Central City) แน่ๆ เลยล่ะ"""
ssc_502050_0180#0,"""นับว่าเป็นเรื่องดีมากเลยนะ ที่พวกเราสามารถ<br>จัดตั้งกองกำลังสวนกลับได้อย่างรวดเร็วขนาดนั้นน่ะ"""
ssc_502050_0190#0,"""ได้แต่หวังว่าความสำเร็จของพวกเราในครั้งนั้น<br>จะเป็นอะไรที่มากกว่าแค่เรื่องบังเอิญล่ะนะ"""
ssc_502050_0200#0,"""ถึงแม้ว่าสิ่งที่พูดไปส่วนใหญ่ จะเป็นแค่การเอาเนื้อหาใน<br>รายงานที่ได้รับจากครอว์ฟอร์ด (Crawford) มาพูดซ้ำอีกรอบก็เถอะ"""
ssc_502050_0210#0,"""เขาทำงานวิจัยได้ยอดเยี่ยมมากจริงๆ"""
ssc_502050_0220#0,"""ดูเหมือนทุกอย่างเพิ่งจะเริ่มต้นขึ้นเท่านั้นเอง..."""
ssc_502050_0230#0,"""จู่ๆ ก็มีเรื่องให้<br>ต้องรับรู้เยอะแยะไปหมดเลยแฮะ"""
ssc_502050_0240#0,"""ฮี่ฮี่ฮี่ เอาเป็นว่า ขอจบการ<br>บรรยายของวันนี้ไว้แค่นี้ก่อนแล้วกันนะ ตกลงไหม?"""
ssc_502050_0250#0,"""ถ้าเรียนรู้อะไรเพิ่มเติมได้อีก<br>เดี๋ยวจะมาเล่าให้ฟังนะ"""
