ssc_502100_0010#0,"""ใครอยู่น่ะ?!"""
ssc_502100_0020#0,"""อ้า เธอนี่เอง..."""
ssc_502100_0030#0,"""เธอดูไม่สบายใจนะ..."""
ssc_502100_0040#0,"""เกิดอะไรขึ้นงั้นเหรอ?"""
ssc_502100_0050#0,"""อ้อ เปล่าหรอก..."""
ssc_502100_0060#0,"""เปล่า ไม่มีอะไรหรอก..."""
ssc_502100_0070#0,"""..."""
ssc_502100_0080#0,"""เวลาที่มาที่นี่<br>ก็อดไม่ได้ที่จะนึกถึงน่ะ"""
ssc_502100_0090#0,"""เรื่องการต่อสู้กับ Nilus Stia..."""
ssc_502100_0100#0,"""และเรื่องที่<br>ทหารคนนั้นยอมสละชีวิต..."""
ssc_502100_0110#0,"""...เพื่อปกป้องคนอย่างฉัน..."""
ssc_502100_0120#0,"""ทำไมกันล่ะ...?"""
ssc_502100_0130#0,"""อย่าโทษตัวเองเลย"""
ssc_502100_0140#0,"""มันเป็นหน้าที่ของเขานะ"""
ssc_502100_0150#0,"""แต่...!"""
ssc_502100_0160#0,"""หน้าที่ของเขา... คือการปกป้องพวกเรางั้นเหรอ?"""
ssc_502100_0170#0,"""เขาก็มีชีวิตเหมือนกันนะ <%me>"""
ssc_502100_0180#0,"""เขาคงมีสิ่งที่อยากทำอีกตั้งมากมาย<br>มีความฝันที่อยากทำให้เป็นจริง"""
ssc_502100_0190#0,"""แล้วฉันก็... พรากทุกสิ่งทุกอย่าง<br>ไปจากเขา... ตลอดกาล..."""
ssc_502100_0200#0,"""ฉันไม่อาจยอมรับ<br>แนวคิดแบบนั้นได้หรอกนะ"""
ssc_502100_0210#0,"""คานุย (Kanui)?!"""
ssc_502100_0220#0,"""ขออภัยด้วย ฉันได้ยิน<br>เสียงคนคุยกันทางนี้น่ะ"""
ssc_502100_0230#0,"""ขอเวลาพูดถึงเรื่อง<br>กองกำลังแนวหน้าสเตีย (Stia Vanguard) สักครู่จะได้ไหม?"""
ssc_502100_0240#0,"""หนึ่งในกฎของพวกเราก็คือ<br>'ห้ามทอดทิ้งพวกพ้องเด็ดขาด' น่ะ"""
ssc_502100_0250#0,"""ในการต่อสู้ ศัตรูไม่ใช่<br>สิ่งที่น่ากลัวที่สุดหรอกนะ"""
ssc_502100_0260#0,"""การไม่สามารถเชื่อใจ<br>สหายร่วมรบของตัวเองได้ต่างหากที่น่ากลัวกว่ามาก"""
ssc_502100_0270#0,"""ความคิดที่ว่าอาจจะถูกทิ้งไว้ข้างหลัง<br>หากพลัดหลงหรือบาดเจ็บในระหว่างการต่อสู้น่ะ"""
ssc_502100_0280#0,"""ความกังวลเหล่านั้นจะคอยตามหลอกหลอน<br>เธออยู่เสมอ หากเธอไม่เชื่อใจสหายร่วมรบของตัวเอง"""
ssc_502100_0290#0,"""กฎข้อนั้นถูกตั้งขึ้นมา<br>เพื่อขจัดความหวาดกลัวนั้นให้หมดไป"""
ssc_502100_0300#0,"""เหล่าทหารจะได้สามารถพึ่งพา<br>ซึ่งกันและกันได้โดยไม่ต้องกังวล"""
ssc_502100_0310#0,"""พวกเราสร้างความไว้วางใจซึ่งกันและกัน<br>และร่วมกันทำภารกิจให้ลุล่วง"""
ssc_502100_0320#0,"""ทหารคนที่ปกป้องเธอ<br>ก็แค่ทำตามกฎข้อนั้นน่ะ"""
ssc_502100_0330#0,"""เขาเห็นเธอตกอยู่ในอันตรายก็เลย<br>ตัดสินใจ 'ห้ามทอดทิ้งเธอเด็ดขาด'"""
ssc_502100_0340#0,"""'ผู้คนจะรอดชีวิตมากขึ้นถ้าเธอยังมีชีวิตอยู่'"""
ssc_502100_0350#0,"""ฉันเชื่อว่านั่นคือสิ่งที่เขาคิดอยู่ในใจน่ะ"""
ssc_502100_0360#0,"""และจากนั้น การต่อสู้ก็ดำเนินไปอย่างที่เห็น"""
ssc_502100_0370#0,"""...ไม่สิ! สิ่งที่ฉันทำก็แค่ปล่อยให้<br>ความโกรธเข้าครอบงำ แล้วจากนั้น...!"""
ssc_502100_0380#0,"""ในการต่อสู้น่ะ ผลลัพธ์คือทุกสิ่งทุกอย่าง"""
ssc_502100_0390#0,"""แน่นอนว่ากระบวนการก็สำคัญ<br>แต่ท้ายที่สุดแล้วสิ่งที่เราให้ความสำคัญก็คือ:"""
