ssc_502110_0010#0,"""กำลังดูอะไรอยู่เหรอ?"""
ssc_502110_0020#0,"""กำลังคิดอะไรอยู่เหรอ?"""
ssc_502110_0030#0,"""……เปล่าหรอก<br>แค่กำลังคิดอะไรนิดหน่อยน่ะ"""
ssc_502110_0040#0,"""...เกี่ยวกับเรื่องของเซเฟตโต้ (Zephetto) สินะ"""
ssc_502110_0050#0,"""……อืม ก็นิดหน่อยน่ะ"""
ssc_502110_0060#0,"""กำลังนึกถึงเรื่องของเซเฟตโต้ (Zephetto) อยู่น่ะ"""
ssc_502110_0070#0,"""เซเฟตโต้ (Zephetto) ทิ้งข้อมูลเอาไว้มากมายเลย……"""
ssc_502110_0080#0,"""อยู่ใน 'ความทรงจำ' ของฟาเรีย (Pharia) น่ะ"""
ssc_502110_0090#0,"""ถ้าเอาข้อมูลเหล่านั้นมาวิเคราะห์<br>ก็น่าจะไขปริศนาอะไรได้หลายอย่างเลย"""
ssc_502110_0100#0,"""ทั้งต้นกำเนิดของฮาลฟา (Halpha)<br>รวมไปถึงโครงสร้างของ DOLLS……"""
ssc_502110_0110#0,"""แล้วก็แน่นอน ว่ารวมถึงเรื่องของ Starless ด้วย"""
ssc_502110_0120#0,"""……ข้อมูลพวกนั้น<br>เป็นสิ่งที่สำคัญมากจริงๆ นั่นแหละ"""
ssc_502110_0130#0,"""……แต่ว่า"""
ssc_502110_0140#0,"""สำหรับฉันแล้ว ยิ่งไปกว่านั้นคือ……"""
ssc_502110_0150#0,"""อยากจะรู้จักตัวตนของเซเฟตโต้ (Zephetto)<br>ให้มากกว่านี้ต่างหาก"""
ssc_502110_0160#0,"""ตลอดระยะเวลาอันยาวนาน ในฐานะผู้บัญชาการสูงสุด<br>ของรีเซอร์เจนท์อาร์คส (Resurgent ARKS)……"""
ssc_502110_0170#0,"""เขาต้องแบกรับความรู้สึกแบบไหน<br>ในการปฏิบัติภารกิจมาโดยตลอด……"""
ssc_502110_0180#0,"""ขอเพียงแค่ได้สัมผัสถึงความรู้สึกนั้น<br>แม้เพียงเล็กน้อยก็ยังดี"""
ssc_502110_0190#0,"""ถ้าได้รู้ล่ะก็ บางทีฉันอาจจะเข้าใจความหมาย<br>ของสิ่งที่ตัวเองทำมาตลอดก็ได้……"""
ssc_502110_0200#0,"""……ไม่สิ ไม่ใช่แบบนั้นหรอก"""
ssc_502110_0210#0,"""มันไม่ใช่เรื่องที่ซับซ้อนอะไรแบบนั้นหรอก……"""
ssc_502110_0220#0,"""……แค่รู้สึกว่าอยากจะพูดคุยด้วยให้มากกว่านี้ต่างหาก"""
ssc_502110_0230#0,"""ก่อนหน้านี้ เซเฟตโต้ (Zephetto) เคยเรียกตัวเองว่า<br>เป็น 'พ่อ' ของพวกเราด้วยล่ะ"""
ssc_502110_0240#0,"""แน่นอนว่าเราไม่ได้มีความเกี่ยวข้องกันทางสายเลือดเลย"""
ssc_502110_0250#0,"""ก็แค่พูดไปอย่างนั้นในฐานะคนที่มีอำนาจควบคุม<br>พวกเราที่เป็นเหมือน 'หมาก' เท่านั้นแหละ"""
ssc_502110_0260#0,"""……แต่ถึงอย่างนั้น<br>ตอนนี้ฉันก็ยังอยากจะคุยกับเขาอยู่ดี……"""
ssc_502110_0270#0,"""แค่บทสนทนาในชีวิตประจำวัน<br>ที่ไม่มีอะไรสลักสำคัญเลยก็พอ……"""
ssc_502110_0280#0,"""ฉันกลับมีความรู้สึกแบบนั้นอยู่น่ะสิ"""
ssc_502110_0290#0,"""ความรู้สึกนี้ มันคืออะไรกันนะ?"""
ssc_502110_0300#0,"""ความผูกพันต่อ 'ครอบครัว' น่ะสิ"""
ssc_502110_0310#0,"""ความคิดถึงที่มีต่อเซเฟตโต้ (Zephetto) ล่ะมั้ง"""
ssc_502110_0320#0,"""………"""
ssc_502110_0330#0,"""……นั่นสินะ<br>อาจจะเป็นอย่างนั้นก็ได้"""
ssc_502110_0340#0,"""ก็อาจจะ……เป็นอย่างนั้นแหละนะ"""
ssc_502110_0350#0,"""……แต่ว่า<br>ก็ไม่มีโอกาสได้เจอกันอีกแล้วล่ะ"""
ssc_502110_0360#0,"""……ขืนเอาแต่จมปลักอยู่กับความรู้สึกแบบนี้<br>ก็ก้าวเดินต่อไปข้างหน้าไม่ได้หรอก……"""
ssc_502110_0370#0,"""……นั่นสินะ<br>ช่างเถอะ ตอนนี้เอาเป็นว่าคิดแต่เรื่องที่จะก้าวต่อไปข้างหน้าก็พอ"""
ssc_502110_0380#0,"""ฉันจะทุ่มเทแรงกายแรงใจให้มากกว่าที่ผ่านมา<br>เพื่อทุกคนในฮาลฟา (Halpha)"""
ssc_502110_0390#0,"""ขอบคุณนะ<br>ที่ยอมรับฟัง"""
ssc_502110_0400#0,"""ต้องขอบคุณเธอเลย ทำให้จัดการความรู้สึกตัวเองได้แล้วล่ะ"""
ssc_502110_0410#0,"""หลังจากนี้ ก็มาพยายามไปด้วยกันนะ"""
